"","idInterview","state","city","region","type","sex","age_full","age_60","P1","P2","P3","P4","P5","P6","P7","P8_1","P8_2","P8_3","P8_4","P8_5","P8_6","P8_7","P8_8","P8_9","P8_10","P8_11","P8_99","P9","P10_1","P10_2","P10_3","P10_4","P10_5","P10_6","P10_7","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12A","P13_1","P13_2","P13_3","P13_4","P13_5","P13_6","P13_7","P14","P15","P16","P17_1","P17_2","P17_3","P17_4","P17_5","P17_6","P17_7","P17_8","P18","P19","P20","P21","P22","P23_1","P23_2","P23_3","P23_4","P23_5","P24","P25_1","P25_2","P25_3","P25_4","P25_5","P25_6","P25_7","P25_8","P26_1","P26_2","P26_3","P26_4","P26_5","P26_6","P27","P28","P29","P30","P31_1","P31_2","P31_3","P31_4","P31_5","P31_6","P31_7","P31_8","P31_9","P31_10","P31_11","P31_12","P31_13","P32_1","P32_2","P32_3","P32_4","P32_5","P32_6","P33","P34_1","P34_2","P34_3","P34_4","P35","P36","P37","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P40_1","P40_2","education_full","race","religion_full","income_full","class_full","age_50","education","income","class","religion"
"490",28859227,"MG","TEoFILO OTONI","Southeast","Countryside","Men",35,"35-44 age","Excellent","Strongly approves","Great deal","Right/Center-Right","Mildly interested","Mildly interested","Once a week",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Trusted content","WhatsApp","Facebook",NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular",NA,NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Not very much","Unsure","Unsure","No trust at all","Shorter and concise news videos and texts","News from sources with different points of view","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","Yes","Hardly ever","Yes","I just sent a message warning that the information was not true","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Moderate","Major","Not impacted at all","Major","Major","Major","Major","Major","Major","Major","Moderate","Moderate","Journalists or the press","Never","Yes","Never",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Agree","Disagree","Agree","Doctors and Healthcare professionals","Increased a great deal","Great deal","Electronic ballot","Very worried","Very worried","Very worried","Very worried","Very worried","Confidence in the independence and reliability of the electoral justice","Trust in the voting system (electronic ballot or paper ballot)","High School","White","Catholic","Between R$ 7.200,01 and R$ 12.000,00","B1","30-39 age","High School","More than 6 MWs","A/B","Catholic"
"491",28843369,"SP","PEDREIRA","Southeast","Countryside","Men",39,"35-44 age","Bad","Strongly disapproves","Unsure","I never had a political orientation","Mildly interested","Quite interested","Once a day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Social media","Podcasts",NA,"Unsure","Youtube","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Audio Channel/Podcast",NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Indifferent","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Not much responsibility","A fair amount of responsibility","Yes, a great deal","Minor","Minor","Moderate","Minor","Not impacted at all","Major","Major","Major","Major","Moderate","Major","Unsure","Unsure","Major","Government, politicians, or political parties in my country","Yes, rarely","Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","Yes","Yes","No","No","No","Yes, for worse","Disagree","Disagree","Disagree","Disagree","Press","No change at all","Great deal","Electronic ballot","Slightly worried","Very worried","Slightly worried","Slightly worried","Very worried","Confidence in the independence and reliability of the electoral justice","Agility/speed in counting votes","Higher Education","White","None at all","Between R$ 7.200,01 and R$ 12.000,00","B1","30-39 age","Higher Education","More than 6 MWs","A/B","No religion"
"492",28843251,"SP","LIMEIRA","Southeast","Countryside","Men",39,"35-44 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Quite interested","Extremely interested","More than once a day","Printed newspaper","Online newspaper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trusted content","Facebook","Instagram","Youtube",NA,NA,NA,NA,"Online version",NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"PC/desktop","Celular",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Great deal","Great deal","Great deal","Great deal","It depends on the content of the news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Sometimes","No",NA,"Not much responsibility","No responsibility at all","No responsibility at all","A great deal of responsibility","Not much responsibility","Yes, a great deal","Minor","Minor","Minor","Minor","Minor","Major","Major","Major","Major","Moderate","Moderate","Unsure","Unsure","Major","People in general","Yes, always","Yes","Never",NA,"Judiciary",NA,NA,NA,NA,NA,NA,"Church",NA,"Bar Association - OAB",NA,NA,"Yes","Yes","Yes","No","No","Yes","It did not change","Agree","Agree","Disagree","Disagree","Academia/Scientists","No change at all","Great deal","Electronic ballot","Not worried","Slightly worried","Slightly worried","Not worried","Not worried","Confidence in the independence and reliability of the electoral justice","Guaranteeing that there is no internal interference (inside Brazil)","Higher Education","White","Protestant / Evangelical","Between R$ 7.200,01 and R$ 12.000,00","B1","30-39 age","Higher Education","More than 6 MWs","A/B","Evangelicals"
"493",28858589,"SP","SaO PAULO","Southeast","Capital","Men",37,"35-44 age","Regular","Approves","Fair amount","I never had a political orientation","Mildly interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Convenience","WhatsApp","Youtube",NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,"YouTube channel",NA,NA,"Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","No trust at all","Not very much","Great deal","No trust at all","Not very much","Does not use","Unsure","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Unsure","Major","Moderate","Unsure","Unsure","Major","Unsure","Major","Major","Major","Major","Minor","Unsure","Major","Government, politicians, or political parties in my country","Never","Yes","Yes, rarely",NA,NA,NA,NA,NA,NA,NA,NA,"Church",NA,NA,NA,NA,"No","Yes","No","No","No","Yes","Yes, for worse","Disagree","Disagree","Disagree","Disagree","Social media","Increased a great deal","Great deal","Electronic ballot","Not worried","Not worried","Not worried","Slightly worried","Very worried","Trust in the voting system (electronic ballot or paper ballot)","Convenience/ease of voting","Elementary School","Pardo (brown)","Catholic","Unsure","DN/DA","30-39 age","Elementary School","Did not answer","DN/DA","Catholic"
"494",28858607,"SP","SaO PAULO","Southeast","Capital","Men",37,"35-44 age","Bad","Disapproves","Not very much","I no longer have a defined political orientation","Minimally interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Ease of access","WhatsApp","Instagram",NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Tablet","Celular","LapTop/notebook",NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Great deal","Great deal","Unsure","Not very much","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","Unsure","Often","Yes","I just sent a message warning that the information was not true","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, a great deal","Moderate","Major","Moderate","Major","Moderate","Major","Moderate","Major","Major","Major","Major","Major","Major","Major","Government, politicians, or political parties in my country","Yes, always","Yes","Yes, occasionally",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,"Bar Association - OAB","NGOs",NA,"Yes","Yes","Yes","Unsure","Unsure","Yes","Yes, for better","Disagree","Agree","Disagree","Disagree","WHO/Anvisa","Increased a great deal","Great deal","Electronic ballot","Not worried","Not worried","Not worried","Not worried","Not worried","Convenience/ease of voting","Guaranteeing my vote was counted","High School","White","Catholic","Between R$ 7.200,01 and R$ 12.000,00","B1","30-39 age","High School","More than 6 MWs","A/B","Catholic"
"495",28859043,"SP","LENcoIS PAULISTA","Southeast","Countryside","Men",43,"35-44 age","Good","Approves","Fair amount","Right/Center-Right","Mildly interested","Quite interested","Once a day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Social media","Podcasts",NA,"Unsure","Youtube","WhatsApp","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Audio Channel/Podcast",NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A fair amount of responsibility","A great deal of responsibility","A fair amount of responsibility","Yes, a great deal","Minor","Minor","Moderate","Minor","Not impacted at all","Major","Major","Major","Unsure","Unsure","Unsure","Unsure","Unsure","Major","People in general","Yes, rarely","Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","Yes","Yes","No","No","No","Yes, for worse","Disagree","Disagree","Disagree","Disagree","Press","No change at all","Great deal","Electronic ballot","Slightly worried","Very worried","Slightly worried","Slightly worried","Very worried","Confidence in the independence and reliability of the electoral justice","Agility/speed in counting votes","No education","Pardo (brown)","Protestant / Evangelical","Between R$ 600,01 and R$ 1.200,00","D","40-49 age","No education","Up to 1 MW","D/E","Evangelicals"
"496",28845491,"RS","VENÂNCIO AIRES","South","Countryside","Men",37,"35-44 age","Excellent","Strongly approves","Great deal","Right/Center-Right","Quite interested","Quite interested","Once a day",NA,NA,NA,NA,NA,NA,"Alternative news services","WhatsApp or telephone",NA,NA,NA,NA,"Ease of access","Facebook","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Not very much","No trust at all","Not very much","No trust at all","Not very much","Not very much","Great deal","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Often","No",NA,"A great deal of responsibility","A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Moderate","Major","Minor","Moderate","Minor","Moderate","Major","Moderate","Minor","Minor","Moderate","Moderate","Government, politicians, or political parties in my country","Yes, occasionally","Yes","Never","Government",NA,NA,NA,NA,NA,"Businesses","Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","No","No","No","No","Yes","It did not change","Disagree","Agree","Agree","Agree","Federal government","Increased a fair amount","Don't trust","Printed vote (from the electronic ballot)","Very worried","Very worried","Very worried","Slightly worried","Very worried","Trust in the voting system (electronic ballot or paper ballot)","None of the above","Higher Education","White","Catholic","Between R$ 7.200,01 and R$ 12.000,00","B1","30-39 age","Higher Education","More than 6 MWs","A/B","Catholic"
"497",28858463,"RS","CAXIAS DO SUL","South","Countryside","Men",39,"35-44 age","Good","Approves","Fair amount","Center","Mildly interested","Not interested","Never",NA,"Online newspaper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Free access or low price","WhatsApp","Facebook","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","SmartTV","Celular",NA,NA,NA,NA,NA,"SmartTV","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Indifferent","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Often","No",NA,"A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Major","Major","Major","Major","Major","Major","Government, politicians, or political parties in my country","Yes, rarely","No","Never",NA,NA,NA,NA,NA,NA,NA,NA,"Church",NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Agree","Disagree","Disagree","State/Municipal government","Increased a great deal","Great deal","Electronic ballot","Not worried","Slightly worried","Not worried","Not worried","Not worried","Guaranteeing that there is no internal interference (inside Brazil)","None of the above","No education","Black","No defined religion / I have my own spirituality","Between R$ 1.800,01 and R$ 3.600,00","C1","30-39 age","No education","1 to 3 MWs","C","No religion"
"498",28859291,"SC","CANOINHAS","South","Countryside","Men",37,"35-44 age","Good","Strongly approves","Great deal","Right/Center-Right","Quite interested","Quite interested","Once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Convenience","WhatsApp","Facebook","Youtube",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Great deal","Does not use","Does not use","Great deal","Does not use","Does not use","Great deal","Shorter and concise news videos and texts","Unsure","Ignores",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, a fair amount","No","Hardly ever","No",NA,"Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Moderate","Moderate","Moderate","Moderate","Unsure","Moderate","Moderate","Moderate","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Government, politicians, or political parties in my country","Never","Never heard of fact-checking agencies","Never",NA,"Judiciary",NA,NA,NA,"Academia/Scientists",NA,NA,"Church",NA,NA,NA,NA,"Yes","Yes","Yes","Unsure","Unsure","Yes","It did not change","Disagree","Disagree","Disagree","Disagree","Academia/Scientists","No change at all","Great deal","Electronic ballot","Not worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing that there is no internal interference (inside Brazil)","Agility/speed in counting votes","No education","Pardo (brown)","Catholic","Between R$ 600,01 and R$ 1.200,00","D","30-39 age","No education","Up to 1 MW","D/E","Catholic"
"499",28858126,"GO","CATALaO","Center-West","Countryside","Men",44,"35-44 age","Bad","Unsure","Unsure","I never had a political orientation","Not interested","Minimally interested","Unsure",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Ease of access","WhatsApp","Youtube","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","SmartTV",NA,NA,NA,NA,NA,NA,"SmartTV","Does not use","Does not use","Does not use","Not very much","Does not use","Does not use","Does not use","It depends on the content of the news videos and texts","News from sources with different points of view","Unsure",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, but not very much","No","Sometimes","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Unsure","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Minor","Minor","Minor","Minor","Minor","Minor","I am not worried about it","Never","Never heard of fact-checking agencies","Unsure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banking Institutions","No","No","No","No","No","No","Unsure","Unsure","Unsure","Unsure","Unsure","Friends and family","Unsure","Don't trust","Either one of the above","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure",NA,"Higher Education","Pardo (brown)","Catholic","Between R$ 7.200,01 and R$ 12.000,00","B1","40-49 age","Higher Education","More than 6 MWs","A/B","Catholic"
"500",28829397,"PA","BELeM","North","Capital","Men",35,"35-44 age","Bad","Disapproves","Unsure","I no longer have a defined political orientation","Mildly interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Trusted content","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,"YouTube channel","Audio Channel/Podcast",NA,"LapTop/notebook","Celular",NA,NA,NA,NA,NA,"LapTop/notebook","Not very much","Not very much","Not very much","Not very much","Not very much","No trust at all","No trust at all","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Often","No",NA,"A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a fair amount","Moderate","Moderate","Moderate","Moderate","Not impacted at all","Major","Major","Major","Major","Moderate","Minor","Major","Unsure","Moderate","Government, politicians, or political parties in my country","Yes, always","Yes","Yes, rarely",NA,NA,NA,"Armed Forces (Military, Navy, Air force)",NA,"Academia/Scientists",NA,NA,NA,NA,NA,"NGOs",NA,"Yes","Yes","Yes","Yes","No","Yes","Yes, for better","Disagree","Agree","Disagree","Disagree","Press","Increased a great deal","Not very much","Electronic ballot","Slightly worried","Very worried","Very worried","Slightly worried","Very worried","Guaranteeing that there is no internal interference (inside Brazil)","Confidence in the independence and reliability of the electoral justice","Higher Education","White","No defined religion / I have my own spirituality","Unsure","DN/DA","30-39 age","Higher Education","Did not answer","DN/DA","No religion"
"501",28858340,"RR","BOA VISTA","North","Capital","Men",35,"35-44 age","Regular","Disapproves","Not very much","I never had a political orientation","Minimally interested","Quite interested","More than once a day",NA,"Online newspaper",NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Convenience","Twiter","Facebook","WhatsApp",NA,NA,NA,NA,"Online version",NA,NA,NA,NA,"Audio Channel/Podcast",NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Great deal","Not very much","Not very much","No trust at all","Not very much","Indifferent","News from sources with different points of view","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)","I comment on journalistic news on social media or website","I write about journalistic news or about the subject",NA,NA,NA,NA,NA,"Yes, a fair amount","No","Often","No",NA,"No responsibility at all","Not much responsibility","Not much responsibility","A great deal of responsibility","A great deal of responsibility","No","Moderate","Minor","Minor","Major","Minor","Minor","Minor","Moderate","Major","Major","Major","Minor","Not impacted at all","Moderate","Influencers/Celebrities","Yes, always","Yes","Yes, rarely",NA,"Judiciary",NA,NA,NA,NA,NA,NA,NA,"Press",NA,NA,NA,"No","No","Yes","No","No","No","Yes, for better","Disagree","Disagree","Disagree","Disagree","Federal government","Increased a great deal","Not very much","Electronic ballot","Slightly worried","Very worried","Slightly worried","Slightly worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","Agility/speed in counting votes","Middle School","Pardo (brown)","Protestant / Evangelical","More than R$ 12.000,00","A","30-39 age","Elementary School","More than 6 MWs","A/B","Evangelicals"
"502",28822232,"AL","MACEIo","Northeast","Capital","Men",38,"35-44 age","Terrible","Strongly disapproves","None at all","Center","Mildly interested","Quite interested","Once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Trusted content","WhatsApp","Instagram",NA,NA,NA,NA,NA,"Online version",NA,"TV (paid or free)/ Streaming","News site/news agency","YouTube channel","Audio Channel/Podcast",NA,"SmartTV","Celular",NA,NA,NA,NA,NA,"Celular","Great deal","Does not use","Great deal","Not very much","Does not use","Does not use","Not very much","Shorter and concise news videos and texts","News from sources who share your point of view","Ignores",NA,"I comment on journalistic news on social media or website",NA,"I share journalistic news with people I know",NA,NA,NA,NA,"Not at all","No","Often","No",NA,"A fair amount of responsibility","Not much responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Minor","Minor","Unsure","Unsure","Minor","Major","Major","Major","Major","Major","Major","Major","Unsure","Major","Government, politicians, or political parties in my country","Yes, always","No","Yes, occasionally",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Unsure","Unsure","Yes","Unsure","Disagree","Agree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a great deal","Not very much","Printed vote (from the electronic ballot)","Slightly worried","Very worried","Very worried","Slightly worried","Very worried","Guaranteeing my vote was counted","Agility/speed in counting votes","Higher Education","White","No defined religion / I have my own spirituality","More than R$ 12.000,00","A","30-39 age","Higher Education","More than 6 MWs","A/B","No religion"
"503",28830180,"BA","SALVADOR","Northeast","Capital","Men",35,"35-44 age","Regular","Disapproves","Not very much","Left/Center-Left","Mildly interested","Extremely interested","More than once a day",NA,"Online newspaper",NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Ease of access","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Unsure","No trust at all","It depends on the content of the news videos and texts","News from sources with different points of view","Comments",NA,NA,NA,"I share journalistic news with people I know",NA,NA,NA,NA,"Not at all","Yes","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Not impacted at all","Not impacted at all","Major","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Major","Major","Major","Major","Major","Major","Scientists","Never","No","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"Yes","No","No","No","No","Yes","Yes, for worse","Agree","Agree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a fair amount","Don't trust","Electronic ballot","Slightly worried","Very worried","Very worried","Slightly worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","Guaranteeing that there is no external interference (from other countries)","Higher Education","Pardo (brown)","No defined religion / I have my own spirituality","More than R$ 12.000,00","A","30-39 age","Higher Education","More than 6 MWs","A/B","No religion"
"504",28858836,"BA","PORTO SEGURO","Northeast","Countryside","Men",38,"35-44 age","Bad","Strongly disapproves","Not very much","I never had a political orientation","Quite interested","Extremely interested","More than once a day",NA,"Online newspaper",NA,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,"Trusted content","Instagram","Facebook","TikTok",NA,NA,NA,NA,NA,NA,NA,NA,"YouTube channel","Audio Channel/Podcast",NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Does not use","Great deal","Not very much","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,"I comment on journalistic news on social media or website",NA,"I share journalistic news with people I know",NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A fair amount of responsibility","Not much responsibility","A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Minor","Major","Minor","Minor","Major","Major","Major","Major","Major","Major","Unsure","Major","Activists or groups of activists","Yes, occasionally","Yes","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists","Businesses",NA,NA,NA,NA,NA,NA,"Unsure","Yes","Yes","Unsure","Unsure","Yes","It did not change","Disagree","Agree","Disagree","Disagree","Academia/Scientists","Increased a fair amount","Great deal","Electronic ballot","Not worried","Slightly worried","Slightly worried","Slightly worried","Not worried","Guaranteeing that there is no internal interference (inside Brazil)","Guaranteeing my vote was counted","Higher Education","White","Catholic","More than R$ 12.000,00","A","30-39 age","Higher Education","More than 6 MWs","A/B","Catholic"
"505",28859075,"MG","CONTAGEM","Southeast","Metropolitan region","Men",38,"35-44 age","Excellent","Strongly approves","Great deal","Right/Center-Right","Quite interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television","Alternative news services",NA,NA,NA,NA,NA,"Convenience","WhatsApp","Youtube","Instagram",NA,NA,NA,NA,"Online version",NA,"TV (paid or free)/ Streaming","News site/news agency","YouTube channel","Audio Channel/Podcast",NA,"LapTop/notebook","Celular",NA,NA,NA,NA,NA,"Celular","Not very much","Great deal","Great deal","Not very much","Not very much","No trust at all","Not very much","Shorter and concise news videos and texts","News from sources who share your point of view","Ignores","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,NA,"I participate in online polls on news sites or social media",NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Major","Not impacted at all","Moderate","Not impacted at all","Major","Major","Major","Major","Minor","Unsure","Unsure","Unsure","Major","Activists or groups of activists","Yes, always","Never heard of fact-checking agencies","Yes, occasionally",NA,NA,NA,NA,NA,"Academia/Scientists",NA,"Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes, for worse","Disagree","Agree","Disagree","Disagree","Doctors and Healthcare professionals","No change at all","Unsure","Electronic ballot","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","None of the above",NA,"High School","White","Catholic","Between R$ 1.800,01 and R$ 3.600,00","C1","30-39 age","High School","1 to 3 MWs","C","Catholic"
"506",28858477,"RJ","CABO FRIO","Southeast","Countryside","Men",36,"35-44 age","Regular","Strongly approves","Fair amount","Right/Center-Right","Mildly interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Ease of access","WhatsApp","Facebook",NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"LapTop/notebook","Celular",NA,NA,NA,NA,NA,"Celular","Great deal","No trust at all","No trust at all","Not very much","Not very much","No trust at all","No trust at all","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Hardly ever","No",NA,"A great deal of responsibility","A great deal of responsibility","Not much responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Minor","Minor","Minor","Major","Minor","Minor","Minor","Major","Major","Major","Major","Unsure","Unsure","Major","Journalists or the press","Never","No","Never",NA,"Judiciary",NA,NA,NA,NA,NA,NA,NA,"Press","Bar Association - OAB",NA,NA,"Yes","No","Yes","No","No","No","Yes, for better","Disagree","Disagree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","Agility/speed in counting votes","Middle School","White","Protestant / Evangelical","More than R$ 12.000,00","A","30-39 age","Elementary School","More than 6 MWs","A/B","Evangelicals"
