"","M","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","presUsed","useM","popM.li","latentM"
"11","1985-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,32.3236178407633
"12","1986-01",1986,"Brazil","Sarney",36,12,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-01-15,"1986-1","SARNEY",TRUE,36,30.1127408401739
"13","1986-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,39.4437805908348
"14","1986-03",1986,"Brazil","Sarney",71,2,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Jos_ Roberto Toledo",NA,"SARNEY",1986-03-15,"1986-1","SARNEY",TRUE,71,40.9252000709947
"15","1986-04",1986,"Brazil","Sarney",81,1,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-04-15,"1986-2","SARNEY",TRUE,81,54.7343924976328
"16","1986-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,56.8023274138933
"17","1986-06",1986,"Brazil","Sarney",76,2,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-06-15,"1986-2","SARNEY",TRUE,76,56.2390580026417
"18","1986-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6666666666667,53.324774595649
"19","1986-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3333333333333,52.8301561479314
"20","1986-09",1986,"Brazil","Sarney",66,3,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-09-15,"1986-3","SARNEY",TRUE,66,50.2968496489964
"21","1986-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,40.7753478361088
"22","1986-11",1986,"Brazil","Sarney",34,23,43,41,2,"Ot-Bom","Sao Paulo",NA,NA,NA,"Datafolha",NA,"Folha November 23, 1986, page 43",NA,"SARNEY",1986-11-21,"1986-4","SARNEY",TRUE,34,35.1314766142569
"23","1986-12",1986,"Brazil","Sarney",47,11,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-12-15,"1986-4","SARNEY",TRUE,47,36.659070471813
"24","1987-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,30.8889289035876
"25","1987-02",1987,"Brazil","Sarney",26,22,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-02-15,"1987-1","SARNEY",TRUE,26,24.7401198140523
"26","1987-03",1987,"Brazil","Sarney",32.6,19.3,48.2,46.1,2.1,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?","Ibope",NA,"Cesop00014",NA,"SARNEY",1987-03-12,"1987-1","SARNEY",TRUE,32.6,20.164483059688
"27","1987-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,12.2495939019521
"28","1987-05",1987,"Brazil","Sarney",9,54,37,35,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1987-05-15,"1987-2","SARNEY",TRUE,9,15.5545162771429
"29","1987-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.525,19.5184874284341
"30","1987-07",1987,"Brazil","Sarney",20.1,30.7,49.1,46.2,2.9,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?","Ibope",NA,"Cesop00035",NA,"SARNEY",1987-07-12,"1987-3","SARNEY",TRUE,20.05,18.8950617195546
"31","1987-07",1987,"Brazil","Sarney",20,46,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-07-15,"1987-3","SARNEY",TRUE,20.05,18.8950617195546
"32","1987-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.975,18.4269465713415
"33","1987-09",1987,"Brazil","Sarney",19.8,33.6,46.5,43.7,2.8,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?","Ibope",NA,"Cesop00043",NA,"SARNEY",1987-09-12,"1987-3","SARNEY",TRUE,17.9,17.402424621338
"34","1987-09",1987,"Brazil","Sarney",16,55,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-09-15,"1987-3","SARNEY",TRUE,17.9,17.402424621338
"35","1987-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.45,14.9374544641831
"36","1987-11",1987,"Brazil","Sarney",11,58,31,29,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1987-11-15,"1987-4","SARNEY",TRUE,11,17.318432772841
"37","1987-12",1987,"Brazil","Sarney",12,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-12-15,"1987-4","SARNEY",TRUE,12,14.2302646620783
"38","1988-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13.2852131617359
"39","1988-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13.0482070049782
"40","1988-03",1988,"Brazil","Sarney",10,65,25,23,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1988-03-15,"1988-1","SARNEY",TRUE,9,12.4860413633641
"41","1988-03",1988,"Brazil","Sarney",8,66,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-03-15,"1988-1","SARNEY",TRUE,9,12.4860413633641
"42","1988-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,11.8789418578748
"43","1988-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,11.7622313387046
"44","1988-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,11.7385027185325
"45","1988-07",1988,"Brazil","Sarney",10,67,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-07-15,"1988-3","SARNEY",TRUE,10,11.7580735732622
"46","1988-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12.3177903732839
"47","1988-09",1988,"Brazil","Sarney",12,66,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-09-15,"1988-3","SARNEY",TRUE,12,12.9006905573198
"48","1988-10",1988,"Brazil","Sarney",7,65,28,24,4,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1988-10-15,"1988-4","SARNEY",TRUE,7,14.2014116650707
"49","1988-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,14.8574746142103
"50","1988-12",1988,"Brazil","Sarney",8,65,27,25,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1988-12-15,"1988-4","SARNEY",TRUE,8.5,12.8097358174044
"51","1988-12",1988,"Brazil","Sarney",9,72,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-12-15,"1988-4","SARNEY",TRUE,8.5,12.8097358174044
"52","1989-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,13.3101434743285
"53","1989-02",1989,"Brazil","Sarney",14,58,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-02-15,"1989-1","SARNEY",TRUE,14,14.1530200363619
"54","1989-03",1989,"Brazil","Sarney",7,62,31,28,3,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1989-03-15,"1989-1","SARNEY",TRUE,9,12.6881040720255
"55","1989-03",1989,"Brazil","Sarney",11,66,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-03-15,"1989-1","SARNEY",TRUE,9,12.6881040720255
"56","1989-04",1989,"Brazil","Sarney",10,54,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Jos_ Roberto Toledo",NA,"SARNEY",1989-04-15,"1989-2","SARNEY",TRUE,13,13.8674814457714
"57","1989-04",1989,"Brazil","Sarney",16,63,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-04-15,"1989-2","SARNEY",TRUE,13,13.8674814457714
"58","1989-05",1989,"Brazil","Sarney",16,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-05-15,"1989-2","SARNEY",TRUE,16,15.4493204699526
"59","1989-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14.1161109522959
"60","1989-07",1989,"Brazil","Sarney",8,61.9,30.1,26.3,3.8,"Ot-Bom",NA,NA,NA,"E como o Sr classificaria a atuaŤ_o do Presidente Sarney at_ o momento","Ibope",NA,"Cesop00175",NA,"SARNEY",1989-07-15,"1989-3","SARNEY",TRUE,8,9.60552955201881
"61","1989-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7.62983185447971
"62","1989-09",1989,"Brazil","Sarney",5,68,27,24,3,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1989-09-15,"1989-3","SARNEY",TRUE,5,11.4305245846731
"63","1989-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13.5260695788721
"64","1989-11",1989,"Brazil","Sarney",9,59.7,31.2,27.8,3.4,"Ot-Bom",NA,NA,NA,"como o Sr classifica a administraŤ_o do Presidente Sarney. O Sr. Diria que vem sendoă","Ibope",NA,"Cesop00204",NA,"SARNEY",1989-11-15,"1989-4","SARNEY",TRUE,9,9.95776798203561
"65","1989-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,8.64428660204251
"66","1990-01",1990,"Brazil","Sarney",7,64,29,27,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1990-01-15,"1990-1","SARNEY",TRUE,12,12.711726495619
"67","1990-01",1990,"Brazil","Sarney",17,65,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1990-01-15,"1990-1","SARNEY",TRUE,12,12.711726495619
"68","1990-02",1990,"Brazil","Sarney",16,59,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1990-02-15,"1990-1","SARNEY",TRUE,12.5,14.1485250595237
"69","1990-02",1990,"Brazil","Sarney",9,56,37,34,3,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha","Actually taken in March, but to avoid attributing it to Collor I'm calling it February","SARNEY",1990-02-28,"1990-1","SARNEY",TRUE,12.5,14.1485250595237
"70","1990-03",1990,"Brazil","Collor",71,4,25,18,7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha","This was expectativa antes da posse","COLLOR",1990-03-10,"1990-1","COLLOR",TRUE,71,46.0546189751515
"71","1990-04",1990,"Brazil","Collor",69,9,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-04-15,"1990-2","COLLOR",TRUE,69,50.4762621022574
"72","1990-05",1990,"Brazil","Collor",42,28,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-05-15,"1990-2","COLLOR",TRUE,42,37.2334715564288
"73","1990-06",1990,"Brazil","Collor",36,19,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1990-06-15,"1990-2","COLLOR",TRUE,34.5,30.9201022153431
"74","1990-06",1990,"Brazil","Collor",33,34,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-06-15,"1990-2","COLLOR",TRUE,34.5,30.9201022153431
"75","1990-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.325,29.7891434831072
"76","1990-08",1990,"Brazil","Collor",37,32,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-08-15,"1990-3","COLLOR",TRUE,36.15,29.4596961257845
"77","1990-08",1990,"Brazil","Collor",35.3,18.6,46,44.1,1.9,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00229",NA,"COLLOR",1990-08-15,"1990-3","COLLOR",TRUE,36.15,29.4596961257845
"78","1990-09",1990,"Brazil","Collor",34,20,46,43,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1990-09-15,"1990-3","COLLOR",TRUE,34,30.6029970397433
"79","1990-10",1990,"Brazil","Collor",42,28,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-10-15,"1990-4","COLLOR",TRUE,42,32.9777657155106
"80","1990-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,30.2344951015273
"81","1990-12",1990,"Brazil","Collor",29.6,23.4,47,45.1,1.9,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00236",NA,"COLLOR",1990-12-15,"1990-4","COLLOR",TRUE,29.6,24.2640114594106
"82","1991-01",1991,"Brazil","Collor",33,36,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-01-15,"1991-1","COLLOR",TRUE,33,26.6563246831778
"83","1991-02",1991,"Brazil","Collor",27,27,0,NA,NA,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Jos_ Roberto Toledo",NA,"COLLOR",1991-02-15,"1991-1","COLLOR",TRUE,27,21.9859776863496
"84","1991-03",1991,"Brazil","Collor",23,34,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1991-03-15,"1991-1","COLLOR",TRUE,23,23.337965895096
"85","1991-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,23.4562426048786
"86","1991-05",1991,"Brazil","Collor",22,53,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-05-15,"1991-2","COLLOR",TRUE,22,20.9836194783781
"87","1991-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20.3221957610678
"88","1991-07",1991,"Brazil","Collor",22,51,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-07-15,"1991-3","COLLOR",TRUE,22,20.1440812348037
"89","1991-08",1991,"Brazil","Collor",20.4,32.8,46.7,44.4,2.3,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00270",NA,"COLLOR",1991-08-18,"1991-3","COLLOR",TRUE,20.4,17.3121327052526
"90","1991-09",1991,"Brazil","Collor",18,41,41,39,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1991-09-15,"1991-3","COLLOR",TRUE,18.5,18.1726667658053
"91","1991-09",1991,"Brazil","Collor",19,57,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-09-15,"1991-3","COLLOR",TRUE,18.5,18.1726667658053
"92","1991-10",1991,"Brazil","Collor",18,62,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-10-15,"1991-4","COLLOR",TRUE,18,17.5762049220757
"93","1991-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16.8949013704386
"94","1991-12",1991,"Brazil","Collor",16,64,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-12-15,"1991-4","COLLOR",TRUE,16,16.2851877702592
"95","1992-01",1992,"Brazil","Collor",13.8,45.7,40.6,38,2.6,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00297",NA,"COLLOR",1992-01-31,"1992-1","COLLOR",TRUE,13.8,13.1920618861461
"96","1992-02",1992,"Brazil","Collor",16,65,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-02-15,"1992-1","COLLOR",TRUE,15.2,14.8024197727823
"97","1992-02",1992,"Brazil","Collor",14.4,49,36.6,34.5,2.1,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00298",NA,"COLLOR",1992-02-25,"1992-1","COLLOR",TRUE,15.2,14.8024197727823
"98","1992-03",1992,"Brazil","Collor",15,48,37,35,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1992-03-15,"1992-1","COLLOR",TRUE,16,16.3679783888116
"99","1992-03",1992,"Brazil","Collor",17,62,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-03-15,"1992-1","COLLOR",TRUE,16,16.3679783888116
"100","1992-04",1992,"Brazil","Collor",17.1,39.5,43.3,40.8,2.5,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00301",NA,"COLLOR",1992-04-14,"1992-2","COLLOR",TRUE,17.1,15.0236832204462
"101","1992-05",1992,"Brazil","Collor",22,57,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-05-15,"1992-2","COLLOR",TRUE,19.6,17.3059420726464
"102","1992-05",1992,"Brazil","Collor",17.2,40.2,42.6,40,2.6,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00304",NA,"COLLOR",1992-05-26,"1992-2","COLLOR",TRUE,19.6,17.3059420726464
"103","1992-06",1992,"Brazil","Collor",16,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-06-15,"1992-2","COLLOR",TRUE,16,16.7237408452594
"104","1992-07",1992,"Brazil","Collor",16,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-07-15,"1992-3","COLLOR",TRUE,16,16.5955678759788
"105","1992-08",1992,"Brazil","Collor",11.3,59.5,29.2,23,6.2,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","Ibope",NA,"Cesop00310",NA,"COLLOR",1992-08-27,"1992-3","COLLOR",TRUE,11.3,12.3115629947048
"106","1992-09",1992,"Brazil","Collor",9,68,22,21,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1992-09-15,"1992-3","COLLOR",TRUE,9,12.3202083700827
"107","1992-09",1992,"Brazil","Collor",9,79,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-09-15,"1992-3","COLLOR",TRUE,9,12.3202083700827
"108","1992-10",1992,"Brazil","Franco",18,21,60,40,20,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha","actually taken in setember","FRANCO",1992-10-03,"1992-4","FRANCO",TRUE,18,18.571330893627
"109","1992-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,23.6146659409012
"110","1992-12",1992,"Brazil","Franco",28,10,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1992-12-15,"1992-4","FRANCO",TRUE,31,25.9289245406952
"111","1992-12",1992,"Brazil","Franco",34,11,56,45,11,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1992-12-16,"1992-4","FRANCO",TRUE,31,25.9289245406952
"112","1993-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,27.583157091947
"113","1993-02",1993,"Brazil","Franco",36,8,55,44,11,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-02-04,"1993-1","FRANCO",TRUE,36,30.7262647543012
"114","1993-03",1993,"Brazil","Franco",24,18,59,51,8,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-03-03,"1993-1","FRANCO",TRUE,22.5,24.8445489699126
"115","1993-03",1993,"Brazil","Franco",21,21,61,54,7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-03-28,"1993-1","FRANCO",TRUE,22.5,24.8445489699126
"116","1993-04",1993,"Brazil","Franco",17,27,55,49,6,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-04-14,"1993-2","FRANCO",TRUE,17,20.8767594223393
"117","1993-05",1993,"Brazil","Franco",19,26,55,50,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-05-26,"1993-2","FRANCO",TRUE,19,21.0048016223576
"118","1993-06",1993,"Brazil","Franco",17,27,56,52,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-06-15,"1993-2","FRANCO",TRUE,17,20.0247345820672
"119","1993-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,19.2915105216964
"120","1993-08",1993,"Brazil","Franco",15,34,52,48,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-08-04,"1993-3","FRANCO",TRUE,15,18.6791927451166
"121","1993-09",1993,"Brazil","Franco",14.9,35.3,49.7,46.1,3.6,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Cesop0033510",NA,"FRANCO",1993-09-10,"1993-3","FRANCO",TRUE,14.9,18.4733457072985
