raw.date,day,month,year,Country,President,Positive,Negative,DK-Neutral,Neutral,DK,QuestType,SampleType,SampleSize,SampleMode,Question,Institute,SurveyName,Source,Notes
1-Feb-83,,feb,1983,Brazil,Figueiredo,43,13,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Mar-83,,mar,1983,Brazil,Figueiredo,38,14,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jun-83,,jun,1983,Brazil,Figueiredo,46,17,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Sep-83,,sep,1983,Brazil,Figueiredo,28,30,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Dec-83,,dec,1983,Brazil,Figueiredo,26,32,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-84,,feb,1984,Brazil,Figueiredo,26,28,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Apr-84,,apr,1984,Brazil,Figueiredo,26,27,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jul-84,,jul,1984,Brazil,Figueiredo,24,29,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
10.abr.85,10,apr,1985,Brazil,Sarney,35.3,10,54.7,28,26.7,Ot-Bom,Sao Paulo,,,,Datafolha,,Folha  June 16 1985 page 6,
1-Apr-85,,apr,1985,Brazil,Sarney,51,3,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-May-85,,may,1985,Brazil,Sarney,57,2,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
18.jun.85,18,jun,1985,Brazil,Sarney,45.2,4.7,50.1,42.2,7.9,Ot-Bom,Sao Paulo,,,,Datafolha,,Folha June 16 1985 cover and page 6,
1-Aug-85,,aug,1985,Brazil,Sarney,45,5,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jan-86,,jan,1986,Brazil,Sarney,36,12,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
mar.86,,mar,1986,Brazil,Sarney,71,2,0,,,Ot-Bom,,,,,Ibope,,Jos_ Roberto Toledo,
1-Apr-86,,apr,1986,Brazil,Sarney,81,1,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jun-86,,jun,1986,Brazil,Sarney,76,2,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Sep-86,,sep,1986,Brazil,Sarney,66,3,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
21.nov.86,21,nov,1986,Brazil,Sarney,34,23,43,41,2,Ot-Bom,Sao Paulo,,,,Datafolha,,"Folha November 23, 1986, page 43",
1-Dec-86,,dec,1986,Brazil,Sarney,47,11,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-87,,feb,1987,Brazil,Sarney,26,22,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
12.mar.87,12,mar,1987,Brazil,Sarney,32.6,19.3,48.2,46.1,2.1,Ot-Bom,,,,Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?,Ibope,,Cesop00014,
mai.87,,may,1987,Brazil,Sarney,9,54,37,35,2,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
12.jul.87,12,jul,1987,Brazil,Sarney,20.1,30.7,49.1,46.2,2.9,Ot-Bom,,,,Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?,Ibope,,Cesop00035,
1-Jul-87,,jul,1987,Brazil,Sarney,20,46,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
12.set.87,12,sep,1987,Brazil,Sarney,19.8,33.6,46.5,43.7,2.8,Ot-Bom,,,,Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?,Ibope,,Cesop00043,
1-Sep-87,,sep,1987,Brazil,Sarney,16,55,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
nov.87,,nov,1987,Brazil,Sarney,11,58,31,29,2,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
1-Dec-87,,dec,1987,Brazil,Sarney,12,61,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
mar.88,,mar,1988,Brazil,Sarney,10,65,25,23,2,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
1-Mar-88,,mar,1988,Brazil,Sarney,8,66,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jul-88,,jul,1988,Brazil,Sarney,10,67,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Sep-88,,sep,1988,Brazil,Sarney,12,66,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
out.88,,oct,1988,Brazil,Sarney,7,65,28,24,4,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
dez.88,,dec,1988,Brazil,Sarney,8,65,27,25,2,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
1-Dec-88,,dec,1988,Brazil,Sarney,9,72,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-89,,feb,1989,Brazil,Sarney,14,58,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
mar.89,,mar,1989,Brazil,Sarney,7,62,31,28,3,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
1-Mar-89,,mar,1989,Brazil,Sarney,11,66,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
abr.89,,apr,1989,Brazil,Sarney,10,54,0,,,Ot-Bom,,,,,Ibope,,Jos_ Roberto Toledo,
1-Apr-89,,apr,1989,Brazil,Sarney,16,63,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-May-89,,may,1989,Brazil,Sarney,16,61,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
jul.89,,jul,1989,Brazil,Sarney,8,61.9,30.1,26.3,3.8,Ot-Bom,,,,E como o Sr classificaria a atuaŤ_o do Presidente Sarney at_ o momento,Ibope,,Cesop00175,
set.89,,sep,1989,Brazil,Sarney,5,68,27,24,3,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
nov.89,,nov,1989,Brazil,Sarney,9,59.7,31.2,27.8,3.4,Ot-Bom,,,,como o Sr classifica a administraŤ_o do Presidente Sarney. O Sr. Diria que vem sendoă,Ibope,,Cesop00204,
jan.90,,jan,1990,Brazil,Sarney,7,64,29,27,2,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,
1-Jan-90,,jan,1990,Brazil,Sarney,17,65,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-90,,feb,1990,Brazil,Sarney,16,59,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
28.fev.90,28,feb,1990,Brazil,Sarney,9,56,37,34,3,Ot-Bom,10 cities,,,,Datafolha,,Datafolha,"Actually taken in March, but to avoid attributing it to Collor I'm calling it February"
10.mar.90,10,mar,1990,Brazil,Collor,71,4,25,18,7,Ot-Bom,,,,,Datafolha,,Datafolha,This was expectativa antes da posse
1-Apr-90,,apr,1990,Brazil,Collor,69,9,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-May-90,,may,1990,Brazil,Collor,42,28,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
jun.90,,jun,1990,Brazil,Collor,36,19,45,43,2,Ot-Bom,,,,,Datafolha,,Datafolha,
1-Jun-90,,jun,1990,Brazil,Collor,33,34,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Aug-90,,aug,1990,Brazil,Collor,37,32,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
ago.90,,aug,1990,Brazil,Collor,35.3,18.6,46,44.1,1.9,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00229,
set.90,,sep,1990,Brazil,Collor,34,20,46,43,3,Ot-Bom,,,,,Datafolha,,Datafolha,
1-Oct-90,,oct,1990,Brazil,Collor,42,28,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
dez.90,,dec,1990,Brazil,Collor,29.6,23.4,47,45.1,1.9,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00236,
1-Jan-91,,jan,1991,Brazil,Collor,33,36,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
fev.91,,feb,1991,Brazil,Collor,27,27,0,,,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Jos_ Roberto Toledo,
mar.91,,mar,1991,Brazil,Collor,23,34,43,40,3,Ot-Bom,,,,,Datafolha,,Datafolha,
1-May-91,,may,1991,Brazil,Collor,22,53,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jul-91,,jul,1991,Brazil,Collor,22,51,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
18.ago.91,18,aug,1991,Brazil,Collor,20.4,32.8,46.7,44.4,2.3,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00270,
set.91,,sep,1991,Brazil,Collor,18,41,41,39,2,Ot-Bom,,,,,Datafolha,,Datafolha,
1-Sep-91,,sep,1991,Brazil,Collor,19,57,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Oct-91,,oct,1991,Brazil,Collor,18,62,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Dec-91,,dec,1991,Brazil,Collor,16,64,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
31.jan.92,31,jan,1992,Brazil,Collor,13.8,45.7,40.6,38,2.6,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00297,
1-Feb-92,,feb,1992,Brazil,Collor,16,65,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
25.fev.92,25,feb,1992,Brazil,Collor,14.4,49,36.6,34.5,2.1,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00298,
mar.92,,mar,1992,Brazil,Collor,15,48,37,35,2,Ot-Bom,,,,,Datafolha,,Datafolha,
1-Mar-92,,mar,1992,Brazil,Collor,17,62,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
14.abr.92,14,apr,1992,Brazil,Collor,17.1,39.5,43.3,40.8,2.5,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00301,
1-May-92,,may,1992,Brazil,Collor,22,57,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
26.mai.92,26,may,1992,Brazil,Collor,17.2,40.2,42.6,40,2.6,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00304,
1-Jun-92,,jun,1992,Brazil,Collor,16,61,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jul-92,,jul,1992,Brazil,Collor,16,61,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
27.ago.92,27,aug,1992,Brazil,Collor,11.3,59.5,29.2,23,6.2,Ot-Bom,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",Ibope,,Cesop00310,
set.92,,sep,1992,Brazil,Collor,9,68,22,21,1,Ot-Bom,,,,,Datafolha,,Datafolha,
1-Sep-92,,sep,1992,Brazil,Collor,9,79,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
02-03.out.92,3,oct,1992,Brazil,Franco,18,21,60,40,20,Ot-Bom,,,,,Datafolha,,Datafolha,actually taken in setember
dez.92,,dec,1992,Brazil,Franco,28,10,0,,,Ot-Bom,,,,,Ibope,,Jos_ Roberto Toledo,
15-16.dez.92,16,dec,1992,Brazil,Franco,34,11,56,45,11,Ot-Bom,,,,,Datafolha,,Datafolha,
02-04.fev.93,4,feb,1993,Brazil,Franco,36,8,55,44,11,Ot-Bom,,,,,Datafolha,,Datafolha,
03.mar.93,3,mar,1993,Brazil,Franco,24,18,59,51,8,Ot-Bom,,,,,Datafolha,,Datafolha,
27-28.mar.93,28,mar,1993,Brazil,Franco,21,21,61,54,7,Ot-Bom,,,,,Datafolha,,Datafolha,
14.abr.93,14,apr,1993,Brazil,Franco,17,27,55,49,6,Ot-Bom,,,,,Datafolha,,Datafolha,
26.mai.93,26,may,1993,Brazil,Franco,19,26,55,50,5,Ot-Bom,,,,,Datafolha,,Datafolha,
15.jun.93,15,jun,1993,Brazil,Franco,17,27,56,52,4,Ot-Bom,,,,,Datafolha,,Datafolha,
04.ago.93,4,aug,1993,Brazil,Franco,15,34,52,48,4,Ot-Bom,,,,,Datafolha,,Datafolha,
10.set.93,10,sep,1993,Brazil,Franco,14.9,35.3,49.7,46.1,3.6,Ot-Bom,,,,,Datafolha,,Cesop0033510,
out.93,,oct,1993,Brazil,Franco,13,36,0,,,Ot-Bom,,,,,Ibope,,Jos_ Roberto Toledo,
10-11.nov.93,11,nov,1993,Brazil,Franco,12,41,47,43,4,Ot-Bom,,,,,Datafolha,,Datafolha,
14-15.dez.93,15,dec,1993,Brazil,Franco,18,34,48,45,3,Ot-Bom,,,,,Datafolha,,Datafolha,
10.fev.94,10,feb,1994,Brazil,Franco,12.8,36.2,51.1,44.8,6.3,Ot-Bom,,,,,Ibope,,Cesop00339,
28.fev-01.mar.94,1,mar,1994,Brazil,Franco,15,37,49,45,4,Ot-Bom,,,,,Datafolha,,Datafolha,
abr.94,,apr,1994,Brazil,Franco,16,38,47,43,4,Ot-Bom,,,,,Datafolha,,Datafolha,
abr.94,,apr,1994,Brazil,Franco,19,34,0,,,Ot-Bom,,,,,Ibope,,Jos_ Roberto Toledo,
19.jul.94,19,jul,1994,Brazil,Franco,30.5,16.1,53.5,48.7,4.8,Ot-Bom,,,,,Ibope,,Cesop00355,
09.ago.94,9,aug,1994,Brazil,Franco,37,13,50,46,4,Ot-Bom,,,,,Datafolha,,Datafolha,
28.set.94,28,sep,1994,Brazil,Franco,32,13,55,49,6,Ot-Bom,,,,,Datafolha,,Datafolha,
29.set.94,29,sep,1994,Brazil,Franco,32.9,13.8,53.3,48.6,4.7,Ot-Bom,,,,,Datafolha,,Cesop00377,
20.out.94,20,oct,1994,Brazil,Franco,40,10,51,46,5,Ot-Bom,,,,,Datafolha,,Datafolha,
29.nov.94,29,nov,1994,Brazil,Franco,41.9,8.6,49.6,45.6,4,Ot-Bom,,,,,Ibope,,Cesop00388,
14.dez.94,14,dec,1994,Brazil,Franco,41,8,52,48,4,Ot-Bom,,,,,Datafolha,,Datafolha,
dez.94,,dec,1994,Brazil,Franco,46,11,0,,,Ot-Bom,,,,,Ibope,,Jos_ Roberto Toledo,
27.jan.95,27,jan,1995,Brazil,Cardoso,35.1,15.5,49.4,35.2,14.2,Ot-Bom,,,,,Datafolha,,Cesop00391,
04-07.fev.95,7,feb,1995,Brazil,Cardoso,57,9,33,23,10,Ot-Bom,,,,,Vox,,Rodrigues,
11-13.mar.95,13,mar,1995,Brazil,Cardoso,43,11,46,40,6,Ot-Bom,,,,,Vox,,Rodrigues,
mar.95,,mar,1995,Brazil,Cardoso,41,12,47,43,4,Ot-Bom,,,,,Ibope,,Rodrigues,
21-23.mar.95,23,mar,1995,Brazil,Cardoso,39,16,45,40,5,Ot-Bom,,,,,Datafolha,,Datafolha,
13-16.abr.95,16,apr,1995,Brazil,Cardoso,39,17,44,40,4,Ot-Bom,,,,,Vox,,Rodrigues,
mai.95,,may,1995,Brazil,Cardoso,39,14,47,43,4,Ot-Bom,,,,,Ibope,,Rodrigues,
20-23.mai.95,23,may,1995,Brazil,Cardoso,37,17,45,42,3,Ot-Bom,,,,,Vox,,Rodrigues,
17-20.jun.95,20,jun,1995,Brazil,Cardoso,41,17,42,39,3,Ot-Bom,,,,,Vox,,Rodrigues,
20-22.jun.95,22,jun,1995,Brazil,Cardoso,40,17,43,40,3,Ot-Bom,,,,,Datafolha,,Datafolha,
jul.95,,jul,1995,Brazil,Cardoso,42,16,42,38,4,Ot-Bom,,,,,Ibope,,Rodrigues,
21-24.jul.95,24,jul,1995,Brazil,Cardoso,42,14,43,41,2,Ot-Bom,,,,,Vox,,Rodrigues,
25-29.ago.95,29,aug,1995,Brazil,Cardoso,39,17,44,41,3,Ot-Bom,,,,,Vox,,Rodrigues,
set.95,,sep,1995,Brazil,Cardoso,40,15,45,43,2,Ot-Bom,,,,,Ibope,,Rodrigues,
18.set.95,18,sep,1995,Brazil,Cardoso,42,15,43,39,4,Ot-Bom,,,,,Datafolha,,Datafolha,
nov.95,,nov,1995,Brazil,Cardoso,43,15,42,40,2,Ot-Bom,,,,,Ibope,,Rodrigues,
12-15.dez.95,15,dec,1995,Brazil,Cardoso,41,15,44,40,4,Ot-Bom,,,,,Datafolha,,Datafolha,
fev.96,,feb,1996,Brazil,Cardoso,41,17,42,39,3,Ot-Bom,,,,,Ibope,,Rodrigues,
mai.96,,may,1996,Brazil,Cardoso,35,,0,,,Ot-Bom,,,,,Ibope,,CNI-Ibope PDF report July 2012,
11-14.mai.96,14,may,1996,Brazil,Cardoso,26,26,48,45,3,Ot-Bom,,,,,Vox,,Rodrigues,
24-25.jun.96,25,jun,1996,Brazil,Cardoso,30,25,46,41,5,Ot-Bom,,,,,Datafolha,,Datafolha,
ago.96,,aug,1996,Brazil,Cardoso,38,19,42,40,2,Ot-Bom,,,,,Ibope,,Rodrigues,
18-20.set.96,20,sep,1996,Brazil,Cardoso,43,17,40,38,2,Ot-Bom,,,,,Datafolha,,Datafolha,
nov.96,,nov,1996,Brazil,Cardoso,46.4,15.6,38.1,35.7,2.4,Ot-Bom,,,,,Ibope,,Cesop01190,
11-13.dez.96,13,dec,1996,Brazil,Cardoso,47,12,41,38,3,Ot-Bom,,,,,Datafolha,,Datafolha,
Dez.96,,dec,1996,Brazil,Cardoso,46,16,38,36,2,Ot-Bom,,,,,Ibope,,Rodrigues,
jan.97,,jan,1997,Brazil,Cardoso,51,13.4,35.7,33.8,1.9,Ot-Bom,,,,,Ibope,,Cesop01194,
01-05.mar.97,5,mar,1997,Brazil,Cardoso,42,16,41,40,1,Ot-Bom,,,,,Vox,,Rodrigues,
mar.97,,mar,1997,Brazil,Cardoso,51,14,36,34,2,Ot-Bom,,,,,Ibope,,Rodrigues,
05-06.mai.97,6,may,1997,Brazil,Cardoso,42,18,40,38,2,Ot-Bom,,,,,Datafolha,,Datafolha,
mai.97,,may,1997,Brazil,Cardoso,34,26,41,37,4,Ot-Bom,,,,,Ibope,,Rodrigues,
18-20.jun.97,20,jun,1997,Brazil,Cardoso,39,16,44,42,2,Ot-Bom,,,,,Datafolha,,Datafolha,
ago.97,,aug,1997,Brazil,Cardoso,38,24,38,35,3,Ot-Bom,,,,,Ibope,,Rodrigues,
06-09.set.97,9,sep,1997,Brazil,Cardoso,36,20,43,41,2,Ot-Bom,,,,,Vox,,Rodrigues,
16.set.97,16,sep,1997,Brazil,Cardoso,43,15,42,41,1,Ot-Bom,,,,,Datafolha,,Datafolha,
out.97,,oct,1997,Brazil,Cardoso,43,17,40,37,3,Ot-Bom,,,,,Ibope,,Rodrigues,
06-09.dez.97,9,dec,1997,Brazil,Cardoso,38,19,43,41,2,Ot-Bom,,,,,Vox,,Rodrigues,
15-17.dez.97,17,dec,1997,Brazil,Cardoso,37,20,43,40,3,Ot-Bom,,,,,Datafolha,,Datafolha,
jan.98,,jan,1998,Brazil,Cardoso,42,16,43,41,2,Ot-Bom,,,,,Ibope,,Rodrigues,
27-29.jan.98,29,jan,1998,Brazil,Cardoso,33,21,47,45,2,Ot-Bom,,,,,Vox,,Rodrigues,
10-11.mar.98,11,mar,1998,Brazil,Cardoso,38,21,41,39,2,Ot-Bom,,,,,Datafolha,,Datafolha,
mar.98,,mar,1998,Brazil,Cardoso,39,21,41,38,3,Ot-Bom,,,,,Ibope,,Rodrigues,
06.abr.98,6,apr,1998,Brazil,Cardoso,31,23,46,45,1,Ot-Bom,,,,,Vox,,Rodrigues,
29-30.abr.98,30,apr,1998,Brazil,Cardoso,35,21,44,41,3,Ot-Bom,,,,,Datafolha,,Datafolha,
mai.98,,may,1998,Brazil,Cardoso,33,26,41,39,2,Ot-Bom,,,,,Ibope,,Rodrigues,
16.mai.98,16,may,1998,Brazil,Cardoso,29,26,45,42,3,Ot-Bom,,,,,Vox,,Rodrigues,
27-28.mai.98,28,may,1998,Brazil,Cardoso,31,24,45,43,2,Ot-Bom,,,,,Datafolha,,Datafolha,
08-09.jun.98,9,jun,1998,Brazil,Cardoso,31,25,44,41,3,Ot-Bom,,,,,Datafolha,,Datafolha,
16.jun.98,16,jun,1998,Brazil,Cardoso,31,27,42,39,3,Ot-Bom,,,,,Vox,,Rodrigues,
08-09.jul.98,9,jul,1998,Brazil,Cardoso,38,19,43,41,2,Ot-Bom,,,,,Datafolha,,Datafolha,
jul.98,,jul,1998,Brazil,Cardoso,41,17,43,40,3,Ot-Bom,,,,,Ibope,,Rodrigues,
21.jul.98,21,jul,1998,Brazil,Cardoso,36,22,42,41,1,Ot-Bom,,,,,Vox,,Rodrigues,
11.ago.98,11,aug,1998,Brazil,Cardoso,40,18,42,41,1,Ot-Bom,,,,,Vox,,Rodrigues,
12-14.ago.98,14,aug,1998,Brazil,Cardoso,39,18,43,40,3,Ot-Bom,,,,,Datafolha,,Datafolha,
01-02.set.98,2,sep,1998,Brazil,Cardoso,43,17,39,37,2,Ot-Bom,,,,,Datafolha,,Datafolha,
15.set.98,15,sep,1998,Brazil,Cardoso,45,17,38,36,2,Ot-Bom,,,,,Vox,,Rodrigues,
10-11.dez.98,11,dec,1998,Brazil,Cardoso,35,25,40,37,3,Ot-Bom,,,,,Datafolha,,Datafolha,
20.dez.98,20,dec,1998,Brazil,Cardoso,32,23,44,43,1,Ot-Bom,,,,,Vox,,Rodrigues,
24.jan.99,24,jan,1999,Brazil,Cardoso,27,33,40,37,3,Ot-Bom,,,,,Vox,,Rodrigues,
03-04.fev.99,4,feb,1999,Brazil,Cardoso,21,36,43,39,4,Ot-Bom,,,,,Datafolha,,Datafolha,
01.mar.99,1,mar,1999,Brazil,Cardoso,19,47,35,32,3,Ot-Bom,,,,,Vox,,Rodrigues,
mar.99,,mar,1999,Brazil,Cardoso,22,41,37,34,3,Ot-Bom,,,,,Ibope,,Rodrigues,
29.mar.99,29,mar,1999,Brazil,Cardoso,16,43,40,39,1,Ot-Bom,,,,,Vox,,Rodrigues,
25.abr.99,25,apr,1999,Brazil,Cardoso,17,46,37,35,2,Ot-Bom,,,,,Vox,,Rodrigues,
mai.99,,may,1999,Brazil,Cardoso,18,44,38,35,3,Ot-Bom,,,,,Ibope,,Rodrigues,
23.mai.99,23,may,1999,Brazil,Cardoso,15,51,34,32,2,Ot-Bom,,,,,Vox,,Rodrigues,
09-11.jun.99,11,jun,1999,Brazil,Cardoso,16,44,41,38,3,Ot-Bom,,,,,Datafolha,,Datafolha,
05.jul.99,5,jul,1999,Brazil,Cardoso,12,53,35,33,2,Ot-Bom,,,,,Vox,,Rodrigues,
jul.99,,jul,1999,Brazil,Cardoso,16,52,33,30,3,Ot-Bom,,,,,Ibope,,Rodrigues,
10.ago.99,10,aug,1999,Brazil,Cardoso,12,59,29,28,1,Ot-Bom,,,,,Vox,,Rodrigues,
06.set.99,6,sep,1999,Brazil,Cardoso,8,65,27,26,1,Ot-Bom,,,,,Vox,,Rodrigues,
14-15.set.99,15,sep,1999,Brazil,Cardoso,13,56,30,27,3,Ot-Bom,,,,,Datafolha,,Datafolha,
set.99,,sep,1999,Brazil,Cardoso,16,51,33,30,3,Ot-Bom,,,,,Ibope,,Rodrigues,
10.out.99,10,oct,1999,Brazil,Cardoso,8,62,29,27,2,Ot-Bom,,,,,Vox,,Rodrigues,
09.nov.99,9,nov,1999,Brazil,Cardoso,11,59,30,28,2,Ot-Bom,,,,,Vox,,Rodrigues,
nov.99,,nov,1999,Brazil,Cardoso,17,48,36,32,4,Ot-Bom,,,,,Ibope,,Rodrigues,
14.dez.99,14,dec,1999,Brazil,Cardoso,12,59,28,26,2,Ot-Bom,,,,,Vox,,Rodrigues,
13-15.dez.99,15,dec,1999,Brazil,Cardoso,16,46,39,36,3,Ot-Bom,,,,,Datafolha,,Datafolha,
15-18.jan.00,18,jan,2000,Brazil,Cardoso,16,43,41,40,1,Ot-Bom,,,,,Vox,,Rodrigues,
fev.00,,feb,2000,Brazil,Cardoso,20,39,41,37,4,Ot-Bom,,,,,Ibope,,Rodrigues,
19-21.fev.00,21,feb,2000,Brazil,Cardoso,16,49,35,33,2,Ot-Bom,,,,,Vox,,Rodrigues,
14-16.mar.00,16,mar,2000,Brazil,Cardoso,18,43,39,37,2,Ot-Bom,,,,,Datafolha,,Datafolha,
18-20.mar.00,20,mar,2000,Brazil,Cardoso,16,51,33,31,2,Ot-Bom,,,,,Vox,,Rodrigues,
25-27.abr.00,27,apr,2000,Brazil,Cardoso,14,51,35,34,1,Ot-Bom,,,,,Vox,,Rodrigues,
mai.00,,may,2000,Brazil,Cardoso,20,45,35,32,3,Ot-Bom,,,,,Ibope,,Rodrigues,
20-23.mai.00,23,may,2000,Brazil,Cardoso,15,53,33,31,2,Ot-Bom,,,,,Vox,,Rodrigues,
19-20.jun.00,20,jun,2000,Brazil,Cardoso,19,41,40,38,2,Ot-Bom,,,,,Datafolha,,Datafolha,
24-26.jun.00,26,jun,2000,Brazil,Cardoso,13,59,28,26,2,Ot-Bom,,,,,Vox,,Rodrigues,
