raw.date,day,month,year,Date,Country,President,Positive,Negative,DK-Neutral,Neutral,DK,Sum,QuestType,Type,SampleType,SampleSize,SampleMode,Question,Institute,Institute_OLD,Validation_Institute,SurveyName,Source,Notes
1-jul.-84,,jul,1984,1984-07-01,Brazil,Figueiredo,24,29,,,,53,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-abr.-85,,apr,1985,1985-04-01,Brazil,Sarney,51,3,,,,54,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
10.abr.85,10,apr,1985,1985-04-10,Brazil,Sarney,35,10,"54,7",28,"26,7",100,Ot-Bom,Evaluation,Sao Paulo,,,,Datafolha,Datafolha,TRUE,,Folha  June 16 1985 page 6,
1-maio-85,,may,1985,1985-05-01,Brazil,Sarney,57,2,,,,59,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
18.jun.85,18,jun,1985,1985-06-18,Brazil,Sarney,45,"4,7","50,1","42,2","7,9",100,Ot-Bom,Evaluation,Sao Paulo,,,,Datafolha,Datafolha,TRUE,,Folha June 16 1985 cover and page 6,
1-ago.-85,,aug,1985,1985-08-01,Brazil,Sarney,45,5,,,,50,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jan.-86,,jan,1986,1986-01-01,Brazil,Sarney,36,12,,,,48,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
mar.86,,mar,1986,1986-03-01,Brazil,Sarney,71,2,0,,,73,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
1-abr.-86,,apr,1986,1986-04-01,Brazil,Sarney,81,1,,,,82,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jun.-86,,jun,1986,1986-06-01,Brazil,Sarney,76,2,,,,78,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-set.-86,,sep,1986,1986-09-01,Brazil,Sarney,66,3,,,,69,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
21.nov.86,21,nov,1986,1986-11-21,Brazil,Sarney,34,23,43,41,2,100,Ot-Bom,Evaluation,Sao Paulo,,,,Datafolha,Datafolha,TRUE,,"Folha November 23, 1986, page 43",
1-dez.-86,,dec,1986,1986-12-01,Brazil,Sarney,47,11,,,,58,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-87,,feb,1987,1987-02-01,Brazil,Sarney,26,22,,,,48,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
12.mar.87,12,mar,1987,1987-03-12,Brazil,Sarney,33,"19,3","48,2","46,1","2,1",100,Ot-Bom,Evaluation,,,,Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?,IBOPE,Ibope/Ipec,FALSE,,Cesop00014,
mai.87,,may,1987,1987-05-01,Brazil,Sarney,9,54,37,35,2,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-jul.-87,,jul,1987,1987-07-01,Brazil,Sarney,20,46,,,,66,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
12.jul.87,12,jul,1987,1987-07-12,Brazil,Sarney,20,"30,7","49,1","46,2","2,9",100,Ot-Bom,Evaluation,,,,Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?,IBOPE,Ibope/Ipec,FALSE,,Cesop00035,
1-set.-87,,sep,1987,1987-09-01,Brazil,Sarney,16,55,,,,71,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
12.set.87,12,sep,1987,1987-09-12,Brazil,Sarney,20,"33,6","46,5","43,7","2,8",100,Ot-Bom,Evaluation,,,,Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?,IBOPE,Ibope/Ipec,FALSE,,Cesop00043,
nov.87,,nov,1987,1987-11-01,Brazil,Sarney,11,58,31,29,2,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-dez.-87,,dec,1987,1987-12-01,Brazil,Sarney,12,61,,,,73,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
mar.88,,mar,1988,1988-03-01,Brazil,Sarney,10,65,25,23,2,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-mar.-88,,mar,1988,1988-03-01,Brazil,Sarney,8,66,,,,74,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jul.-88,,jul,1988,1988-07-01,Brazil,Sarney,10,67,,,,77,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-set.-88,,sep,1988,1988-09-01,Brazil,Sarney,12,66,,,,78,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
out.88,,oct,1988,1988-10-01,Brazil,Sarney,7,65,28,24,4,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
dez.88,,dec,1988,1988-12-01,Brazil,Sarney,8,65,27,25,2,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-dez.-88,,dec,1988,1988-12-01,Brazil,Sarney,9,72,,,,81,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-89,,feb,1989,1989-02-01,Brazil,Sarney,14,58,,,,72,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
mar.89,,mar,1989,1989-03-01,Brazil,Sarney,7,62,31,28,3,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-mar.-89,,mar,1989,1989-03-01,Brazil,Sarney,11,66,,,,77,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
abr.89,,apr,1989,1989-04-01,Brazil,Sarney,10,54,0,,,64,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
1-abr.-89,,apr,1989,1989-04-01,Brazil,Sarney,16,63,,,,79,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-maio-89,,may,1989,1989-05-01,Brazil,Sarney,16,61,,,,77,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
jul.89,,jul,1989,1989-07-01,Brazil,Sarney,8,"61,9","30,1","26,3","3,8",100,Ot-Bom,Evaluation,,,,E como o Sr classificaria a atuaŤ_o do Presidente Sarney at_ o momento,IBOPE,Ibope/Ipec,FALSE,,Cesop00175,
set.89,,sep,1989,1989-09-01,Brazil,Sarney,5,68,27,24,3,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
nov.89,,nov,1989,1989-11-01,Brazil,Sarney,9,"59,7","31,2","27,8","3,4",100,Ot-Bom,Evaluation,,,,como o Sr classifica a administraŤ_o do Presidente Sarney. O Sr. Diria que vem sendoă,IBOPE,Ibope/Ipec,FALSE,,Cesop00204,
jan.90,,jan,1990,1990-01-01,Brazil,Sarney,7,64,29,27,2,100,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-jan.-90,,jan,1990,1990-01-01,Brazil,Sarney,17,65,,,,82,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-90,,feb,1990,1990-02-01,Brazil,Sarney,16,59,,,,75,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
28.fev.90,28,feb,1990,1990-02-28,Brazil,Sarney,9,56,37,34,3,102,Ot-Bom,Evaluation,10 cities,,,,Datafolha,Datafolha,TRUE,,Datafolha,"Actually taken in March, but to avoid attributing it to Collor I'm calling it February"
10.mar.90,10,mar,1990,1990-03-10,Brazil,Collor,71,4,25,18,7,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,This was expectativa antes da posse
1-abr.-90,,apr,1990,1990-04-01,Brazil,Collor,69,9,,,,78,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-maio-90,,may,1990,1990-05-01,Brazil,Collor,42,28,,,,70,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
jun.90,,jun,1990,1990-06-01,Brazil,Collor,36,19,45,43,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-jun.-90,,jun,1990,1990-06-01,Brazil,Collor,33,34,,,,67,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-ago.-90,,aug,1990,1990-08-01,Brazil,Collor,37,32,,,,69,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
ago.90,,aug,1990,1990-08-01,Brazil,Collor,35,"18,6",46,"44,1","1,9",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00229,
set.90,,sep,1990,1990-09-01,Brazil,Collor,34,20,46,43,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-out.-90,,oct,1990,1990-10-01,Brazil,Collor,42,28,,,,70,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
dez.90,,dec,1990,1990-12-01,Brazil,Collor,30,"23,4",47,"45,1","1,9",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00236,
1-jan.-91,,jan,1991,1991-01-01,Brazil,Collor,33,36,,,,69,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
fev.91,,feb,1991,1991-02-01,Brazil,Collor,27,27,0,,,54,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
mar.91,,mar,1991,1991-03-01,Brazil,Collor,23,34,43,40,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-maio-91,,may,1991,1991-05-01,Brazil,Collor,22,53,,,,75,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jul.-91,,jul,1991,1991-07-01,Brazil,Collor,22,51,,,,73,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
18.ago.91,18,aug,1991,1991-08-18,Brazil,Collor,20,"32,8","46,7","44,4","2,3",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00270,
set.91,,sep,1991,1991-09-01,Brazil,Collor,18,41,41,39,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-set.-91,,sep,1991,1991-09-01,Brazil,Collor,19,57,,,,76,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-out.-91,,oct,1991,1991-10-01,Brazil,Collor,18,62,,,,80,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-dez.-91,,dec,1991,1991-12-01,Brazil,Collor,16,64,,,,80,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
31.jan.92,31,jan,1992,1992-01-31,Brazil,Collor,14,"45,7","40,6",38,"2,6",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00297,
1-fev.-92,,feb,1992,1992-02-01,Brazil,Collor,16,65,,,,81,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
25.fev.92,25,feb,1992,1992-02-25,Brazil,Collor,14,49,"36,6","34,5","2,1",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00298,
mar.92,,mar,1992,1992-03-01,Brazil,Collor,15,48,37,35,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-mar.-92,,mar,1992,1992-03-01,Brazil,Collor,17,62,,,,79,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
14.abr.92,14,apr,1992,1992-04-14,Brazil,Collor,17,"39,5","43,3","40,8","2,5",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00301,
1-maio-92,,may,1992,1992-05-01,Brazil,Collor,22,57,,,,79,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
26.mai.92,26,may,1992,1992-05-26,Brazil,Collor,17,"40,2","42,6",40,"2,6",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00304,
1-jun.-92,,jun,1992,1992-06-01,Brazil,Collor,16,61,,,,77,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jul.-92,,jul,1992,1992-07-01,Brazil,Collor,16,61,,,,77,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
27.ago.92,27,aug,1992,1992-08-27,Brazil,Collor,11,"59,5","29,2",23,"6,2",100,Ot-Bom,Evaluation,,,,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă",IBOPE,Ibope/Ipec,FALSE,,Cesop00310,
set.92,,sep,1992,1992-09-01,Brazil,Collor,9,68,22,21,1,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
1-set.-92,,sep,1992,1992-09-01,Brazil,Collor,9,79,,,,88,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
02-03.out.92,3,oct,1992,1992-10-03,Brazil,Franco,18,21,60,40,20,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,actually taken in setember
dez.92,,dec,1992,1992-12-01,Brazil,Franco,28,10,0,,,38,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
15-16.dez.92,16,dec,1992,1992-12-16,Brazil,Franco,34,11,56,45,11,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
02-04.fev.93,4,feb,1993,1993-02-04,Brazil,Franco,36,8,55,44,11,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
03.mar.93,3,mar,1993,1993-03-03,Brazil,Franco,24,18,59,51,8,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
27-28.mar.93,28,mar,1993,1993-03-28,Brazil,Franco,21,21,61,54,7,103,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
14.abr.93,14,apr,1993,1993-04-14,Brazil,Franco,17,27,55,49,6,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
26.mai.93,26,may,1993,1993-05-26,Brazil,Franco,19,26,55,50,5,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
15.jun.93,15,jun,1993,1993-06-15,Brazil,Franco,17,27,56,52,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
04.ago.93,4,aug,1993,1993-08-04,Brazil,Franco,15,34,52,48,4,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
10.set.93,10,sep,1993,1993-09-10,Brazil,Franco,15,"35,3","49,7","46,1","3,6",100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Cesop0033510,
out.93,,oct,1993,1993-10-01,Brazil,Franco,13,36,0,,,49,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
10-11.nov.93,11,nov,1993,1993-11-11,Brazil,Franco,12,41,47,43,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
14-15.dez.93,15,dec,1993,1993-12-15,Brazil,Franco,18,34,48,45,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
10.fev.94,10,feb,1994,1994-02-10,Brazil,Franco,13,"36,2","51,1","44,8","6,3",100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Cesop00339,
28.fev-01.mar.94,1,mar,1994,1994-03-01,Brazil,Franco,15,37,49,45,4,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
abr.94,,apr,1994,1994-04-01,Brazil,Franco,16,38,47,43,4,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
abr.94,,apr,1994,1994-04-01,Brazil,Franco,19,34,0,,,53,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
19.jul.94,19,jul,1994,1994-07-19,Brazil,Franco,31,"16,1","53,5","48,7","4,8",100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Cesop00355,
09.ago.94,9,aug,1994,1994-08-09,Brazil,Franco,37,13,50,46,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
28.set.94,28,sep,1994,1994-09-28,Brazil,Franco,32,13,55,49,6,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
29.set.94,29,sep,1994,1994-09-29,Brazil,Franco,33,"13,8","53,3","48,6","4,7",100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Cesop00377,
20.out.94,20,oct,1994,1994-10-20,Brazil,Franco,40,10,51,46,5,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
29.nov.94,29,nov,1994,1994-11-29,Brazil,Franco,42,"8,6","49,6","45,6",4,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Cesop00388,
dez.94,,dec,1994,1994-12-01,Brazil,Franco,46,11,0,,,57,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Jos_ Roberto Toledo,
14.dez.94,14,dec,1994,1994-12-14,Brazil,Franco,41,8,52,48,4,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
27.jan.95,27,jan,1995,1995-01-27,Brazil,Cardoso,35,"15,5","49,4","35,2","14,2",100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Cesop00391,
04-07.fev.95,7,feb,1995,1995-02-07,Brazil,Cardoso,57,9,33,23,10,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mar.95,,mar,1995,1995-03-01,Brazil,Cardoso,41,12,47,43,4,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
11-13.mar.95,13,mar,1995,1995-03-13,Brazil,Cardoso,43,11,46,40,6,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
21-23.mar.95,23,mar,1995,1995-03-23,Brazil,Cardoso,39,16,45,40,5,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
13-16.abr.95,16,apr,1995,1995-04-16,Brazil,Cardoso,39,17,44,40,4,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mai.95,,may,1995,1995-05-01,Brazil,Cardoso,39,14,47,43,4,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
20-23.mai.95,23,may,1995,1995-05-23,Brazil,Cardoso,37,17,45,42,3,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
17-20.jun.95,20,jun,1995,1995-06-20,Brazil,Cardoso,41,17,42,39,3,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
20-22.jun.95,22,jun,1995,1995-06-22,Brazil,Cardoso,40,17,43,40,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
jul.95,,jul,1995,1995-07-01,Brazil,Cardoso,42,16,42,38,4,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
21-24.jul.95,24,jul,1995,1995-07-24,Brazil,Cardoso,42,14,43,41,2,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
25-29.ago.95,29,aug,1995,1995-08-29,Brazil,Cardoso,39,17,44,41,3,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
set.95,,sep,1995,1995-09-01,Brazil,Cardoso,40,15,45,43,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
18.set.95,18,sep,1995,1995-09-18,Brazil,Cardoso,42,15,43,39,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
nov.95,,nov,1995,1995-11-01,Brazil,Cardoso,43,15,42,40,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
12-15.dez.95,15,dec,1995,1995-12-15,Brazil,Cardoso,41,15,44,40,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
fev.96,,feb,1996,1996-02-01,Brazil,Cardoso,41,17,42,39,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
mai.96,,may,1996,1996-05-01,Brazil,Cardoso,35,,0,,,35,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,CNI-Ibope PDF report July 2012,
11-14.mai.96,14,may,1996,1996-05-14,Brazil,Cardoso,26,26,48,45,3,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
24-25.jun.96,25,jun,1996,1996-06-25,Brazil,Cardoso,30,25,46,41,5,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
ago.96,,aug,1996,1996-08-01,Brazil,Cardoso,38,19,42,40,2,99,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
18-20.set.96,20,sep,1996,1996-09-20,Brazil,Cardoso,43,17,40,38,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
nov.96,,nov,1996,1996-11-01,Brazil,Cardoso,46,"15,6","38,1","35,7","2,4",100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Cesop01190,
Dez.96,,dec,1996,1996-12-01,Brazil,Cardoso,46,16,38,36,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
