"","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","M"
"11",1981,"Brazil","Figueiredo",46,17,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1981-12-15,"1981-4","1981-12"
"12",1982,"Brazil","Figueiredo",45,15,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1982-02-15,"1982-1","1982-02"
"13",1982,"Brazil","Figueiredo",54,12,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1982-04-15,"1982-2","1982-04"
"14",1982,"Brazil","Figueiredo",38,15,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1982-07-15,"1982-3","1982-07"
"15",1982,"Brazil","Figueiredo",45,14,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1982-09-15,"1982-3","1982-09"
"16",1982,"Brazil","Figueiredo",47,11,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1982-11-15,"1982-4","1982-11"
"17",1983,"Brazil","Figueiredo",43,13,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1983-02-15,"1983-1","1983-02"
"18",1983,"Brazil","Figueiredo",38,14,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1983-03-15,"1983-1","1983-03"
"19",1983,"Brazil","Figueiredo",46,17,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1983-06-15,"1983-2","1983-06"
"20",1983,"Brazil","Figueiredo",28,30,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1983-09-15,"1983-3","1983-09"
"21",1983,"Brazil","Figueiredo",26,32,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1983-12-15,"1983-4","1983-12"
"22",1984,"Brazil","Figueiredo",26,28,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1984-02-15,"1984-1","1984-02"
"23",1984,"Brazil","Figueiredo",26,27,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1984-04-15,"1984-2","1984-04"
"24",1984,"Brazil","Figueiredo",24,29,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1984-07-15,"1984-3","1984-07"
"25",1985,"Brazil","Sarney",35.3,10,54.7,28,26.7,"Ot-Bom","Sao Paulo",NA,NA,NA,"Datafolha",NA,"Folha  June 16 1985 page 6",NA,"SARNEY",1985-04-10,"1985-2","1985-04"
"26",1985,"Brazil","Sarney",51,3,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1985-04-15,"1985-2","1985-04"
"27",1985,"Brazil","Sarney",57,2,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1985-05-15,"1985-2","1985-05"
"28",1985,"Brazil","Sarney",45.2,4.7,50.1,42.2,7.9,"Ot-Bom","Sao Paulo",NA,NA,NA,"Datafolha",NA,"Folha June 16 1985 cover and page 6",NA,"SARNEY",1985-06-18,"1985-2","1985-06"
"29",1985,"Brazil","Sarney",45,5,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1985-08-15,"1985-3","1985-08"
"30",1986,"Brazil","Sarney",36,12,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-01-15,"1986-1","1986-01"
"31",1986,"Brazil","Sarney",71,2,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Jos_ Roberto Toledo",NA,"SARNEY",1986-03-15,"1986-1","1986-03"
"32",1986,"Brazil","Sarney",81,1,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-04-15,"1986-2","1986-04"
"33",1986,"Brazil","Sarney",76,2,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-06-15,"1986-2","1986-06"
"34",1986,"Brazil","Sarney",66,3,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-09-15,"1986-3","1986-09"
"35",1986,"Brazil","Sarney",34,23,43,41,2,"Ot-Bom","Sao Paulo",NA,NA,NA,"Datafolha",NA,"Folha November 23, 1986, page 43",NA,"SARNEY",1986-11-21,"1986-4","1986-11"
"36",1986,"Brazil","Sarney",47,11,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1986-12-15,"1986-4","1986-12"
"37",1987,"Brazil","Sarney",26,22,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-02-15,"1987-1","1987-02"
"38",1987,"Brazil","Sarney",32.6,19.3,48.2,46.1,2.1,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?","IBOPE",NA,"Cesop00014",NA,"SARNEY",1987-03-12,"1987-1","1987-03"
"39",1987,"Brazil","Sarney",9,54,37,35,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1987-05-15,"1987-2","1987-05"
"40",1987,"Brazil","Sarney",20.1,30.7,49.1,46.2,2.9,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?","IBOPE",NA,"Cesop00035",NA,"SARNEY",1987-07-12,"1987-3","1987-07"
"41",1987,"Brazil","Sarney",20,46,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-07-15,"1987-3","1987-07"
"42",1987,"Brazil","Sarney",19.8,33.6,46.5,43.7,2.8,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) classifica a administraŤ_o do Presidente Jos_ Sarney at_ o momento?","IBOPE",NA,"Cesop00043",NA,"SARNEY",1987-09-12,"1987-3","1987-09"
"43",1987,"Brazil","Sarney",16,55,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-09-15,"1987-3","1987-09"
"44",1987,"Brazil","Sarney",11,58,31,29,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1987-11-15,"1987-4","1987-11"
"45",1987,"Brazil","Sarney",12,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1987-12-15,"1987-4","1987-12"
"46",1988,"Brazil","Sarney",10,65,25,23,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1988-03-15,"1988-1","1988-03"
"47",1988,"Brazil","Sarney",8,66,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-03-15,"1988-1","1988-03"
"48",1988,"Brazil","Sarney",10,67,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-07-15,"1988-3","1988-07"
"49",1988,"Brazil","Sarney",12,66,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-09-15,"1988-3","1988-09"
"50",1988,"Brazil","Sarney",7,65,28,24,4,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1988-10-15,"1988-4","1988-10"
"51",1988,"Brazil","Sarney",8,65,27,25,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1988-12-15,"1988-4","1988-12"
"52",1988,"Brazil","Sarney",9,72,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1988-12-15,"1988-4","1988-12"
"53",1989,"Brazil","Sarney",14,58,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-02-15,"1989-1","1989-02"
"54",1989,"Brazil","Sarney",7,62,31,28,3,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1989-03-15,"1989-1","1989-03"
"55",1989,"Brazil","Sarney",11,66,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-03-15,"1989-1","1989-03"
"56",1989,"Brazil","Sarney",10,54,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Jos_ Roberto Toledo",NA,"SARNEY",1989-04-15,"1989-2","1989-04"
"57",1989,"Brazil","Sarney",16,63,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-04-15,"1989-2","1989-04"
"58",1989,"Brazil","Sarney",16,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1989-05-15,"1989-2","1989-05"
"59",1989,"Brazil","Sarney",8,61.9,30.1,26.3,3.8,"Ot-Bom",NA,NA,NA,"E como o Sr classificaria a atuaŤ_o do Presidente Sarney at_ o momento","IBOPE",NA,"Cesop00175",NA,"SARNEY",1989-07-15,"1989-3","1989-07"
"60",1989,"Brazil","Sarney",5,68,27,24,3,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1989-09-15,"1989-3","1989-09"
"61",1989,"Brazil","Sarney",9,59.7,31.2,27.8,3.4,"Ot-Bom",NA,NA,NA,"como o Sr classifica a administraŤ_o do Presidente Sarney. O Sr. Diria que vem sendoă","IBOPE",NA,"Cesop00204",NA,"SARNEY",1989-11-15,"1989-4","1989-11"
"62",1990,"Brazil","Sarney",7,64,29,27,2,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"SARNEY",1990-01-15,"1990-1","1990-01"
"63",1990,"Brazil","Sarney",17,65,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1990-01-15,"1990-1","1990-01"
"64",1990,"Brazil","Sarney",16,59,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1990-02-15,"1990-1","1990-02"
"65",1990,"Brazil","Sarney",9,56,37,34,3,"Ot-Bom","10 cities",NA,NA,NA,"Datafolha",NA,"Datafolha","Actually taken in March, but to avoid attributing it to Collor I'm calling it February","SARNEY",1990-02-28,"1990-1","1990-02"
"66",1990,"Brazil","Collor",71,4,25,18,7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha","This was expectativa antes da posse","COLLOR",1990-03-10,"1990-1","1990-03"
"67",1990,"Brazil","Collor",69,9,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-04-15,"1990-2","1990-04"
"68",1990,"Brazil","Collor",42,28,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-05-15,"1990-2","1990-05"
"69",1990,"Brazil","Collor",36,19,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1990-06-15,"1990-2","1990-06"
"70",1990,"Brazil","Collor",33,34,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-06-15,"1990-2","1990-06"
"71",1990,"Brazil","Collor",37,32,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-08-15,"1990-3","1990-08"
"72",1990,"Brazil","Collor",35.3,18.6,46,44.1,1.9,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00229",NA,"COLLOR",1990-08-15,"1990-3","1990-08"
"73",1990,"Brazil","Collor",34,20,46,43,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1990-09-15,"1990-3","1990-09"
"74",1990,"Brazil","Collor",42,28,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1990-10-15,"1990-4","1990-10"
"75",1990,"Brazil","Collor",29.6,23.4,47,45.1,1.9,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00236",NA,"COLLOR",1990-12-15,"1990-4","1990-12"
"76",1991,"Brazil","Collor",33,36,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-01-15,"1991-1","1991-01"
"77",1991,"Brazil","Collor",27,27,0,NA,NA,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Jos_ Roberto Toledo",NA,"COLLOR",1991-02-15,"1991-1","1991-02"
"78",1991,"Brazil","Collor",23,34,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1991-03-15,"1991-1","1991-03"
"79",1991,"Brazil","Collor",22,53,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-05-15,"1991-2","1991-05"
"80",1991,"Brazil","Collor",22,51,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-07-15,"1991-3","1991-07"
"81",1991,"Brazil","Collor",20.4,32.8,46.7,44.4,2.3,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00270",NA,"COLLOR",1991-08-18,"1991-3","1991-08"
"82",1991,"Brazil","Collor",18,41,41,39,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1991-09-15,"1991-3","1991-09"
"83",1991,"Brazil","Collor",19,57,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-09-15,"1991-3","1991-09"
"84",1991,"Brazil","Collor",18,62,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-10-15,"1991-4","1991-10"
"85",1991,"Brazil","Collor",16,64,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1991-12-15,"1991-4","1991-12"
"86",1992,"Brazil","Collor",13.8,45.7,40.6,38,2.6,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00297",NA,"COLLOR",1992-01-31,"1992-1","1992-01"
"87",1992,"Brazil","Collor",16,65,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-02-15,"1992-1","1992-02"
"88",1992,"Brazil","Collor",14.4,49,36.6,34.5,2.1,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00298",NA,"COLLOR",1992-02-25,"1992-1","1992-02"
"89",1992,"Brazil","Collor",15,48,37,35,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1992-03-15,"1992-1","1992-03"
"90",1992,"Brazil","Collor",17,62,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-03-15,"1992-1","1992-03"
"91",1992,"Brazil","Collor",17.1,39.5,43.3,40.8,2.5,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00301",NA,"COLLOR",1992-04-14,"1992-2","1992-04"
"92",1992,"Brazil","Collor",22,57,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-05-15,"1992-2","1992-05"
"93",1992,"Brazil","Collor",17.2,40.2,42.6,40,2.6,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00304",NA,"COLLOR",1992-05-26,"1992-2","1992-05"
"94",1992,"Brazil","Collor",16,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-06-15,"1992-2","1992-06"
"95",1992,"Brazil","Collor",16,61,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-07-15,"1992-3","1992-07"
"96",1992,"Brazil","Collor",11.3,59.5,29.2,23,6.2,"Ot-Bom",NA,NA,NA,"Na sua opini_o, o presidente Fernando Collor est_ fazendo um governoă","IBOPE",NA,"Cesop00310",NA,"COLLOR",1992-08-27,"1992-3","1992-08"
"97",1992,"Brazil","Collor",9,68,22,21,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"COLLOR",1992-09-15,"1992-3","1992-09"
"98",1992,"Brazil","Collor",9,79,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","COLLOR",1992-09-15,"1992-3","1992-09"
"99",1992,"Brazil","Franco",18,21,60,40,20,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha","actually taken in setember","FRANCO",1992-10-03,"1992-4","1992-10"
"100",1992,"Brazil","Franco",28,10,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1992-12-15,"1992-4","1992-12"
"101",1992,"Brazil","Franco",34,11,56,45,11,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1992-12-16,"1992-4","1992-12"
"102",1993,"Brazil","Franco",36,8,55,44,11,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-02-04,"1993-1","1993-02"
"103",1993,"Brazil","Franco",24,18,59,51,8,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-03-03,"1993-1","1993-03"
"104",1993,"Brazil","Franco",21,21,61,54,7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-03-28,"1993-1","1993-03"
"105",1993,"Brazil","Franco",17,27,55,49,6,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-04-14,"1993-2","1993-04"
"106",1993,"Brazil","Franco",19,26,55,50,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-05-26,"1993-2","1993-05"
"107",1993,"Brazil","Franco",17,27,56,52,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-06-15,"1993-2","1993-06"
"108",1993,"Brazil","Franco",15,34,52,48,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-08-04,"1993-3","1993-08"
"109",1993,"Brazil","Franco",14.9,35.3,49.7,46.1,3.6,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Cesop0033510",NA,"FRANCO",1993-09-10,"1993-3","1993-09"
"110",1993,"Brazil","Franco",13,36,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1993-10-15,"1993-4","1993-10"
"111",1993,"Brazil","Franco",12,41,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-11-11,"1993-4","1993-11"
"112",1993,"Brazil","Franco",18,34,48,45,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-12-15,"1993-4","1993-12"
"113",1994,"Brazil","Franco",12.8,36.2,51.1,44.8,6.3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Cesop00339",NA,"FRANCO",1994-02-10,"1994-1","1994-02"
"114",1994,"Brazil","Franco",15,37,49,45,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-03-01,"1994-1","1994-03"
"115",1994,"Brazil","Franco",16,38,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-04-15,"1994-2","1994-04"
"116",1994,"Brazil","Franco",19,34,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1994-04-15,"1994-2","1994-04"
"117",1994,"Brazil","Franco",30.5,16.1,53.5,48.7,4.8,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Cesop00355",NA,"FRANCO",1994-07-19,"1994-3","1994-07"
"118",1994,"Brazil","Franco",37,13,50,46,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-08-09,"1994-3","1994-08"
"119",1994,"Brazil","Franco",32,13,55,49,6,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-09-28,"1994-3","1994-09"
"120",1994,"Brazil","Franco",32.9,13.8,53.3,48.6,4.7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Cesop00377",NA,"FRANCO",1994-09-29,"1994-3","1994-09"
"121",1994,"Brazil","Franco",40,10,51,46,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-10-20,"1994-4","1994-10"
"122",1994,"Brazil","Franco",41.9,8.6,49.6,45.6,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Cesop00388",NA,"FRANCO",1994-11-29,"1994-4","1994-11"
"123",1994,"Brazil","Franco",41,8,52,48,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-12-14,"1994-4","1994-12"
"124",1994,"Brazil","Franco",46,11,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1994-12-15,"1994-4","1994-12"
"125",1995,"Brazil","Cardoso",35.1,15.5,49.4,35.2,14.2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Cesop00391",NA,"CARDOSO",1995-01-27,"1995-1","1995-01"
"126",1995,"Brazil","Cardoso",57,9,33,23,10,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-02-07,"1995-1","1995-02"
"127",1995,"Brazil","Cardoso",43,11,46,40,6,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-03-13,"1995-1","1995-03"
"128",1995,"Brazil","Cardoso",41,12,47,43,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1995-03-15,"1995-1","1995-03"
"129",1995,"Brazil","Cardoso",39,16,45,40,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-03-23,"1995-1","1995-03"
"130",1995,"Brazil","Cardoso",39,17,44,40,4,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-04-16,"1995-2","1995-04"
"131",1995,"Brazil","Cardoso",39,14,47,43,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1995-05-15,"1995-2","1995-05"
"132",1995,"Brazil","Cardoso",37,17,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-05-23,"1995-2","1995-05"
"133",1995,"Brazil","Cardoso",41,17,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-06-20,"1995-2","1995-06"
"134",1995,"Brazil","Cardoso",40,17,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-06-22,"1995-2","1995-06"
