"","idInterview","state","city","region","type","sex","age_full","age_60","P1","P2","P3","P4","P5","P6","P7","P8_1","P8_2","P8_3","P8_4","P8_5","P8_6","P8_7","P8_8","P8_9","P8_10","P8_11","P8_99","P9","P10_1","P10_2","P10_3","P10_4","P10_5","P10_6","P10_7","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12A","P13_1","P13_2","P13_3","P13_4","P13_5","P13_6","P13_7","P14","P15","P16","P17_1","P17_2","P17_3","P17_4","P17_5","P17_6","P17_7","P17_8","P18","P19","P20","P21","P22","P23_1","P23_2","P23_3","P23_4","P23_5","P24","P25_1","P25_2","P25_3","P25_4","P25_5","P25_6","P25_7","P25_8","P26_1","P26_2","P26_3","P26_4","P26_5","P26_6","P27","P28","P29","P30","P31_1","P31_2","P31_3","P31_4","P31_5","P31_6","P31_7","P31_8","P31_9","P31_10","P31_11","P31_12","P31_13","P32_1","P32_2","P32_3","P32_4","P32_5","P32_6","P33","P34_1","P34_2","P34_3","P34_4","P35","P36","P37","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P40_1","P40_2","education_full","race","religion_full","income_full","class_full","age_50","education","income","class","religion","evaluation","approval"
"411",28859874,"MS","TReS LAGOAS","Center-West","Countryside","Men",41,"35-44 age","Good","Approves","Fair amount","Right/Center-Right","Quite interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,NA,NA,"WhatsApp or telephone",NA,"Social media",NA,NA,"Ease of access","Facebook","Instagram","Youtube",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular",NA,NA,NA,NA,NA,NA,"Celular","No trust at all","Does not use","Not very much","No trust at all","No trust at all","Not very much","Great deal","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,"I participate in online polls on news sites or social media",NA,NA,NA,"Not at all","No","Often","No",NA,"Not much responsibility","Not much responsibility","Not much responsibility","Not much responsibility","Not much responsibility","Yes, a great deal","Minor","Minor","Minor","Minor","Minor","Minor","Minor","Major","Moderate","Moderate","Major","Minor","Minor","Major","People in general","Yes, rarely","Unsure","Never","Government",NA,"Legislative","Armed Forces (Military, Navy, Air force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Yes, for worse","Disagree","Agree","Agree","Unsure","Federal government","Decreased a fair amount","Don't trust","Printed vote (from the electronic ballot)","Very worried","Very worried","Very worried","Slightly worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","Guaranteeing my vote was counted","High School","Pardo (brown)","Catholic","Between R$ 1.800,01 and R$ 3.600,00","C1","40-49 age","High School","1 to 3 MWs","C","Catholic","Excellent/Good","Approves"
"412",28845529,"AM","MANAUS","North","Capital","Men",37,"35-44 age","Unsure","Disapproves","Unsure","I never had a political orientation","Not interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Ease of access","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Does not use","Not very much","Great deal","Does not use","Not very much","Shorter and concise news videos and texts","Unsure","Comments",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Often","No",NA,"Unsure","No responsibility at all","No responsibility at all","Unsure","A great deal of responsibility","Yes, a great deal","Major","Major","Major","Major","Not impacted at all","Major","Unsure","Unsure","Moderate","Major","Unsure","Unsure","Unsure","Major","People in general","Yes, occasionally","Yes","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banking Institutions","Yes","Yes","Yes","Yes","Yes","Yes","Yes, for worse","Unsure","Unsure","Disagree","Disagree","Friends and family","Increased a great deal","Great deal","Electronic ballot","Not worried","Not worried","Not worried","Not worried","Not worried","None of the above",NA,"Elementary School","White","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","Elementary School","3 to 6 MWs","A/B","Catholic","Unsure","Disapproves"
"413",28845640,"PA","SANTAReM NOVO","North","Countryside","Men",42,"35-44 age","Terrible","Strongly disapproves","None at all","Center","Extremely interested","Extremely interested","More than once a day",NA,"Online newspaper",NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Convenience","Youtube","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"YouTube channel",NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Great deal","Not very much","Great deal","Not very much","Great deal","Not very much","No trust at all","Shorter and concise news videos and texts","News from sources with different points of view","Reports",NA,NA,NA,"I share journalistic news with people I know",NA,NA,NA,NA,"Yes, a fair amount","Yes","Hardly ever","Yes","I just sent a message warning that the information was not true","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Not much responsibility","A great deal of responsibility","Yes, a great deal","Major","Minor","Major","Major","Minor","Major","Minor","Not impacted at all","Minor","Minor","Not impacted at all","Unsure","Unsure","Unsure","Government, politicians, or political parties in my country","Yes, always","Never heard of fact-checking agencies","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,"Bar Association - OAB","NGOs",NA,"No","Yes","No","No","No","No","It did not change","Disagree","Agree","Disagree","Disagree","Academia/Scientists","Increased a great deal","Great deal","Printed vote (from the electronic ballot)","Very worried","Very worried","Very worried","Very worried","Slightly worried","Guaranteeing that there is no external interference (from other countries)","Guaranteeing that there is no internal interference (inside Brazil)","Higher Education","Pardo (brown)","None at all","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","Higher Education","3 to 6 MWs","A/B","No religion","Bad/Terrible","Disapproves"
"414",28822201,"BA","CAMAcARI","Northeast","Metropolitan region","Men",36,"35-44 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Quite interested","Quite interested","More than once a day",NA,"Online newspaper",NA,NA,NA,NA,NA,NA,NA,"Social media",NA,NA,"Ease of access","Twiter","Instagram","Youtube","Facebook",NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,"Audio Channel/Podcast",NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Great deal","Great deal","Great deal","Great deal","It depends on the content of the news videos and texts","News from sources with different points of view","Read/watch until the end",NA,"I comment on journalistic news on social media or website",NA,"I share journalistic news with people I know","I participate in online polls on news sites or social media",NA,NA,NA,"Yes, a fair amount","No","Hardly ever","Yes","I just sent a message warning that the information was not true","Not much responsibility","Not much responsibility","Not much responsibility","A great deal of responsibility","Not much responsibility","Yes, a great deal","Major","Major","Major","Major","Minor","Major","Major","Major","Major","Major","Major","Major","Unsure","Major","Government, politicians, or political parties in my country","Yes, occasionally","Yes","Never",NA,"Judiciary",NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,"Bar Association - OAB",NA,NA,"Yes","Yes","Yes","Yes","No","Yes","Yes, for better","Disagree","Agree","Disagree","Disagree","Press","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing that there is no internal interference (inside Brazil)","Guaranteeing that there is no external interference (from other countries)","Higher Education","Black","Protestant / Evangelical","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","Higher Education","3 to 6 MWs","A/B","Evangelicals","Bad/Terrible","Disapproves"
"415",28830155,"BA","SALVADOR","Northeast","Capital","Men",43,"35-44 age","Regular","Neither approves nor disapproves","Not very much","Right/Center-Right","Quite interested","Quite interested","Once a day",NA,NA,NA,NA,"Radio","Television",NA,NA,NA,NA,NA,NA,"Ease of access","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","No trust at all","No trust at all","No trust at all","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,"I share journalistic news with people I know",NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","Unsure","Often","Yes","I just sent a message warning that the information was not true","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Major","Moderate","Moderate","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Government, politicians, or political parties in my country","Yes, occasionally","No","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,"Bar Association - OAB",NA,NA,"No","Yes","No","No","No","Yes","Yes, for worse","Agree","Agree","Disagree","Disagree","WHO/Anvisa","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Very worried","Very worried","Slightly worried","Slightly worried","Guaranteeing that there is no internal interference (inside Brazil)","Guaranteeing that there is no external interference (from other countries)","Higher Education","Pardo (brown)","Protestant / Evangelical","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","Higher Education","3 to 6 MWs","A/B","Evangelicals","Regular","Neither approves nor disapproves"
"416",28830169,"BA","SALVADOR","Northeast","Capital","Men",39,"35-44 age","Excellent","Strongly approves","Great deal","Right/Center-Right","Quite interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,"Social media",NA,NA,"Convenience","Instagram","Youtube","Facebook","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","No trust at all","No trust at all","No trust at all","No trust at all","Not very much","No trust at all","Great deal","Longer and in-depth news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Read/watch until the end",NA,NA,NA,"I share journalistic news with people I know",NA,NA,NA,NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A fair amount of responsibility","Yes, a great deal","Minor","Minor","Minor","Minor","Minor","Minor","Minor","Minor","Major","Major","Major","Unsure","Unsure","Major","Journalists or the press","Yes, always","Yes","Yes, rarely",NA,NA,NA,"Armed Forces (Military, Navy, Air force)","Police",NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Unsure","Unsure","Yes","Yes, for worse","Agree","Disagree","Disagree","Disagree","WHO/Anvisa","Increased a fair amount","Not very much","Printed vote (from the electronic ballot)","Not worried","Very worried","Very worried","Slightly worried","Very worried","Guaranteeing my vote was counted","Guaranteeing that there is no internal interference (inside Brazil)","Higher Education","White","No defined religion / I have my own spirituality","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","Higher Education","3 to 6 MWs","A/B","No religion","Excellent/Good","Approves"
"417",28830449,"BA","LAJEDaO","Northeast","Countryside","Men",42,"35-44 age","Bad","Strongly disapproves","None at all","I no longer have a defined political orientation","Mildly interested","Quite interested","a few times a week",NA,NA,"Printed magazines",NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Easy to read content","Facebook","Youtube","WhatsApp","TikTok",NA,NA,NA,NA,NA,NA,NA,"YouTube channel",NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Not very much","Not very much","Does not use","No trust at all","It depends on the content of the news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","Yes","Often","Yes","I didn't send a warning, but I also didn't share the same information anymore","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Minor","Major","Major","Not impacted at all","Minor","Minor","Major","Major","Major","Major","Major","Minor","Major","Journalists or the press","Yes, rarely","Yes","Yes, occasionally",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,"Press",NA,"NGOs",NA,"Yes","Yes","Yes","No","Unsure","Yes","Yes, for better","Disagree","Agree","Disagree","Disagree","WHO/Anvisa","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Very worried","Very worried","Slightly worried","Slightly worried","Trust in the voting system (electronic ballot or paper ballot)","Guaranteeing my vote was counted","Higher Education","White","Spiritist / Kardecist","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","Higher Education","3 to 6 MWs","A/B","Other religion","Bad/Terrible","Disapproves"
"418",28845634,"BA","LAURO DE FREITAS","Northeast","Metropolitan region","Men",37,"35-44 age","Terrible","Strongly disapproves","None at all","I no longer have a defined political orientation","Minimally interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Convenience","WhatsApp","Facebook","Instagram",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources with different points of view","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Often","No",NA,"A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, a great deal","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Major","Major","Major","Major","Major","Major","People in general","Yes, rarely","Never heard of fact-checking agencies","Never",NA,NA,"Legislative",NA,NA,NA,NA,NA,"Church",NA,NA,"NGOs",NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Academia/Scientists","Increased a fair amount","Great deal","Electronic ballot","Slightly worried","Very worried","Very worried","Very worried","Very worried","Agility/speed in counting votes","Confidence in the independence and reliability of the electoral justice","High School","Pardo (brown)","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","High School","3 to 6 MWs","A/B","Catholic","Bad/Terrible","Disapproves"
"419",28858658,"BA","FEIRA DE SANTANA","Northeast","Countryside","Men",36,"35-44 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Mildly interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,"Television","Alternative news services",NA,NA,NA,NA,NA,"Ease of access","Twiter",NA,NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Not very much","Unsure","Great deal","Not very much","Not very much","Does not use","No trust at all","It depends on the content of the news videos and texts","News from sources who share your point of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,NA,"None of the above","Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Minor","Minor","Minor","Minor","Not impacted at all","Not impacted at all","Minor","Major","Major","Minor","Minor","Minor","Major","Moderate","People in general","Yes, always","Yes","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,"Bar Association - OAB",NA,NA,"Yes","No","No","Yes","No","Yes","It did not change","Disagree","Disagree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a great deal","Great deal","Electronic ballot","Not worried","Not worried","Not worried","Not worried","Not worried","Confidence in the independence and reliability of the electoral justice","Trust in the voting system (electronic ballot or paper ballot)","High School","White","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","High School","3 to 6 MWs","A/B","Catholic","Bad/Terrible","Disapproves"
"420",28858724,"BA","SALVADOR","Northeast","Capital","Men",35,"35-44 age","Regular","Disapproves","Not very much","Left/Center-Left","Mildly interested","Minimally interested","Never",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Ease of access","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Unsure","Unsure","No trust at all","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Moderate","Moderate","Moderate","Not impacted at all","Minor","Minor","Major","Major","Major","Major","Major","Unsure","Major","Government, politicians, or political parties in my country","Never","No","Never",NA,"Judiciary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","Yes","Yes, for worse","Agree","Agree","Disagree","Agree","WHO/Anvisa","Increased a great deal","Not very much","Either one of the above","Very worried","Very worried","Very worried","Very worried","Very worried","Guaranteeing my vote was counted","Guaranteeing that there is no internal interference (inside Brazil)","No education","White","Protestant / Evangelical","Between R$ 600,01 and R$ 1.200,00","D","30-39 age","No education","Up to 1 MW","D/E","Evangelicals","Regular","Disapproves"
"421",28858752,"BA","SALVADOR","Northeast","Capital","Men",39,"35-44 age","Excellent","Strongly approves","Great deal","Right/Center-Right","Quite interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,NA,NA,"WhatsApp or telephone",NA,"Social media",NA,NA,"Ease of access","WhatsApp","Youtube","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,"YouTube channel",NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","No trust at all","No trust at all","No trust at all","No trust at all","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources who share your point of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,NA,"None of the above","Not at all","No","Often","No",NA,"Not much responsibility","Not much responsibility","Not much responsibility","Not much responsibility","Not much responsibility","Yes, a fair amount","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Unsure","Major","Major","Government, politicians, or political parties in my country","Never","Yes","Yes, occasionally","Government",NA,NA,"Armed Forces (Military, Navy, Air force)",NA,NA,NA,"Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","Yes","Unsure","Unsure","Unsure","Yes","Yes, for worse","Agree","Agree","Agree","Disagree","Federal government","Increased a great deal","Not very much","Printed vote (from the electronic ballot)","Very worried","Very worried","Very worried","Very worried","Very worried","Trust in the voting system (electronic ballot or paper ballot)","Convenience/ease of voting","High School","Pardo (brown)","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","High School","3 to 6 MWs","A/B","Catholic","Excellent/Good","Approves"
"422",28858796,"BA","LAJEDaO","Northeast","Countryside","Men",42,"35-44 age","Regular","Neither approves nor disapproves","Not very much","I no longer have a defined political orientation","Mildly interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,"WhatsApp or telephone",NA,NA,NA,NA,"Ease of access","Instagram","Youtube","WhatsApp","TikTok",NA,NA,NA,"Online version",NA,NA,NA,NA,NA,NA,"Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Not very much","Not very much","Great deal","No trust at all","Great deal","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Hardly ever","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Minor","Minor","Major","Not impacted at all","Minor","Major","Major","Major","Moderate","Major","Major","Minor","Major","Government, politicians, or political parties in my country","Yes, always","Yes","Yes, rarely",NA,"Judiciary",NA,NA,NA,NA,NA,NA,NA,"Press",NA,NA,NA,"No","No","Yes","No","No","No","Yes, for better","Disagree","Agree","Disagree","Disagree","Press","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Very worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing my vote was counted","Confidence in the independence and reliability of the electoral justice","Higher Education","White","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","Higher Education","3 to 6 MWs","A/B","Catholic","Regular","Neither approves nor disapproves"
"423",28856227,"MA","MIRINZAL","Northeast","Countryside","Men",44,"35-44 age","Regular","Neither approves nor disapproves","Not very much","Right/Center-Right","Mildly interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,"Television","Alternative news services",NA,NA,NA,NA,NA,"Ease of access","WhatsApp","Instagram","Facebook",NA,NA,NA,NA,"Online version",NA,NA,NA,NA,NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources who share your point of view","Ignores","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,NA,NA,NA,NA,NA,"Yes, but not very much","No","Sometimes","Unsure",NA,"A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, a fair amount","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Friends and family","Never","Never heard of fact-checking agencies","Yes, rarely","Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Doctors and Healthcare professionals","No change at all","Not very much","Printed vote (from the electronic ballot)","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing that there is no external interference (from other countries)","Trust in the voting system (electronic ballot or paper ballot)","High School","Black","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","High School","3 to 6 MWs","A/B","Catholic","Regular","Neither approves nor disapproves"
"424",28856361,"MA","MIRINZAL","Northeast","Countryside","Men",38,"35-44 age","Regular","Disapproves","Not very much","I never had a political orientation","Not interested","Minimally interested","Less than once a week",NA,NA,NA,NA,NA,NA,NA,NA,"Friends, family, or acquaintances",NA,NA,NA,"Ease of access","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","No trust at all","No trust at all","No trust at all","Shorter and concise news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Never","No",NA,"A great deal of responsibility","A great deal of responsibility","A fair amount of responsibility","A great deal of responsibility","A fair amount of responsibility","Yes, a great deal","Unsure","Unsure","Unsure","Moderate","Unsure","Unsure","Major","Moderate","Unsure","Unsure","Unsure","Unsure","Unsure","Major","People in general","Yes, rarely","Never heard of fact-checking agencies","Never",NA,NA,NA,"Armed Forces (Military, Navy, Air force)",NA,"Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","Yes","Yes, for worse","Disagree","Agree","Disagree","Disagree","WHO/Anvisa","Decreased a fair amount","Not very much","Either one of the above","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing that there is no external interference (from other countries)","Guaranteeing my vote was counted","High School","Pardo (brown)","Spiritist / Kardecist","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","High School","3 to 6 MWs","A/B","Other religion","Regular","Disapproves"
"425",28823959,"MA","RAPOSA","Northeast","Metropolitan region","Men",35,"35-44 age","Bad","Strongly disapproves","None at all","I never had a political orientation","Not interested","Not interested","Never",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Convenience","Facebook","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","No trust at all","No trust at all","Indifferent","News from sources with different points of view","Comments",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A fair amount of responsibility","A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Not impacted at all","Not impacted at all","Minor","Minor","Not impacted at all","Major","Not impacted at all","Major","Major","Major","Unsure","Unsure","Not impacted at all","Minor","People in general","Yes, rarely","No","Never",NA,NA,NA,"Armed Forces (Military, Navy, Air force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Yes, for worse","Disagree","Agree","Agree","Disagree","WHO/Anvisa","Decreased a great deal","Great deal","Either one of the above","Very worried","Very worried","Very worried","Very worried","Very worried","Confidence in the independence and reliability of the electoral justice","None of the above","Middle School","Pardo (brown)","No defined religion / I have my own spirituality","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","Elementary School","3 to 6 MWs","A/B","No religion","Bad/Terrible","Disapproves"
"426",28845295,"PB","JOaO PESSOA","Northeast","Capital","Men",38,"35-44 age","Terrible","Strongly disapproves","None at all","I never had a political orientation","Mildly interested","Quite interested","Once a day",NA,NA,NA,NA,NA,"Television","Alternative news services",NA,NA,NA,NA,NA,"Convenience","Facebook","Youtube","Instagram","WhatsApp","TikTok",NA,NA,NA,NA,NA,NA,"YouTube channel",NA,NA,"Celular",NA,NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Great deal","Great deal","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,"I comment on journalistic news on social media or website",NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Not much responsibility","Yes, a great deal","Minor","Minor","Minor","Minor","Minor","Major","Major","Major","Major","Major","Major","Major","Minor","Minor","People in general","Yes, always","Yes","Never","Government","Judiciary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banking Institutions","Yes","Yes","Yes","No","No","Yes","Yes, for better","Disagree","Agree","Agree","Disagree","Friends and family","Increased a great deal","Great deal","Electronic ballot","Very worried","Very worried","Very worried","Very worried","Very worried","Confidence in the independence and reliability of the electoral justice","Trust in the voting system (electronic ballot or paper ballot)","High School","Black","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","High School","3 to 6 MWs","A/B","Catholic","Bad/Terrible","Disapproves"
"427",28856876,"PE","RECIFE","Northeast","Capital","Men",39,"35-44 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Quite interested","Quite interested","Once a day",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,"Social media",NA,NA,"Ease of access","WhatsApp","Facebook","Youtube","Instagram","Twiter","TikTok","Other",NA,NA,"TV (paid or free)/ Streaming","News site/news agency","YouTube channel",NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Great deal","Not very much","Not very much","Great deal","Not very much","No trust at all","Not very much","Longer and in-depth news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Read/watch until the end",NA,NA,NA,"I share journalistic news with people I know",NA,NA,NA,NA,"Yes, a fair amount","No","Often","No",NA,"A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Major","Moderate","Major","Minor","Major","Major","Major","Major","Major","Moderate","Major","Minor","Major","Journalists or the press","Yes, always","Yes","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,"Press","Bar Association - OAB",NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","It did not change","Disagree","Agree","Disagree","Disagree","Press","Increased a great deal","Great deal","Electronic ballot","Not worried","Very worried","Very worried","Not worried","Very worried","Confidence in the independence and reliability of the electoral justice","Convenience/ease of voting","Higher Education","White","No defined religion / I have my own spirituality","Between R$ 3.600,01 and R$ 7.200,00","B2","30-39 age","Higher Education","3 to 6 MWs","A/B","No religion","Bad/Terrible","Disapproves"
